Ridge Function,Dimension,m,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100
jmp,1,0,4.453728670982892,3.9370797764033565,4.20049221378413,4.23529901306234,4.5694968837668375,4.0655400869542655,4.5694968837668375,4.689971633229968,4.30624933988374,5.036437202963119,4.5303976693057715,3.9370797764033565,5.528969748453189,4.342409116797206,4.065540086954263,4.200492213784133,4.5694968837668375,4.815431321469166,4.68997163322997,4.342409116797205,4.689971633229969,4.132176164968629,4.200492213784131,4.30624933988374,4.342409116797206,4.731223269112902,5.273689484402334,4.946176954188086,4.342409116797206,5.036437202963121,4.858410312867164,4.270548713087527,4.5694968837668375,5.176730569124986,4.689971633229967,4.689971633229968,4.5694968837668375,4.946176954188086,4.0655400869542655,4.689971633229968,4.132176164968632,4.453728670982892,4.815431321469164,4.689971633229968,3.968610472728861,4.491811446186812,4.342409116797205,4.609118878065686,3.8146806860878213,4.609118878065686,4.731223269112901,4.731223269112901,3.9686104727288622,4.64927369366986,4.5303976693057715,4.416140037726806,4.609118878065686,5.082534478455827,4.901988170006511,5.273689484402338,4.23529901306234,4.64927369366986,4.689971633229968,4.491811446186809,4.30624933988374,4.270548713087527,4.235299013062339,4.379036470584379,4.379036470584376,3.968610472728861,4.491811446186813,4.491811446186811,4.132176164968632,5.082534478455828,5.636579438544741,4.569496883766836,4.815431321469167,4.453728670982892,4.901988170006511,4.815431321469166,4.235299013062341,4.815431321469165,4.30624933988374,4.416140037726809,5.224857416812803,4.270548713087527,4.990989055279092,3.5865284283761305,4.609118878065688,4.0655400869542655,5.082534478455828,4.416140037726807,4.379036470584379,5.082534478455826,4.098651798192857,4.64927369366986,3.8447343088713017,3.8751479669625417,4.68997163322997,4.731223269112901
jmp,1,1,1.6828413840348255,1.4546058309314362,1.5427058053792753,1.4419480921315682,1.5794173455062601,1.617795628496061,1.6022400027975772,1.5719438210062273,1.5719438210062269,1.6912996103697941,1.6744573790006598,1.461021691072758,1.67445737900066,1.4419480921315684,1.5144932103416853,1.6022400027975772,1.8083141373181746,1.557194629982132,1.441948092131568,1.5645364231020995,1.6336288974584328,1.6744573790006598,1.6497444277852558,1.5007616793890874,1.5355577645003042,1.5794173455062597,1.7084412933337412,1.6912996103697944,1.7084412933337416,1.6177956284960608,1.5869575254446482,1.5284733094149268,1.6336288974584323,1.6177956284960604,1.7894280880824107,1.625677271869334,1.7084412933337412,1.67445737900066,1.5645364231020995,1.8570136356642588,1.6099833940143207,1.743644049050611,1.7708720931068205,1.6912996103697941,1.5355577645003038,1.5645364231020995,1.5571946299821318,1.5075966092072368,1.4295195774914915,1.6177956284960604,1.743644049050611,1.625677271869334,1.4610216910727585,1.4806223182186289,1.7171260554368808,1.6579095187412445,1.837275429184081,1.586957525444648,1.5869575254446484,1.7258876500751097,1.5355577645003045,1.5869575254446484,1.5794173455062597,1.5499179267612972,1.5144932103416853,1.571943821006227,1.5945648968005044,1.5794173455062597,1.5945648968005048,1.5075966092072368,1.4674961061840757,1.6099833940143207,1.4806223182186289,1.837275429184081,1.9611243550290154,1.5945648968005048,1.625677271869334,1.6099833940143207,1.6099833940143202,1.6579095187412443,1.4295195774914908,1.743644049050611,1.5571946299821318,1.6099833940143204,1.9079145462968397,1.617795628496061,1.743644049050611,1.3935775261656718,1.6177956284960613,1.493987957897668,1.549917926761297,1.5645364231020995,1.633628897458432,1.5571946299821318,1.6497444277852558,1.7347267529123194,1.5284733094149265,1.4740295040764704,1.6336288974584328,1.6828413840348255
jmp,1,2,1.3070686949395516,1.2639927799430357,1.4610216910727583,1.3820344634437722,1.3020908082123823,1.2416969633275572,1.237374006919121,1.3935775261656718,1.4295195774914904,1.3486774323078268,1.224673079860825,1.435705385437396,1.3070686949395516,1.3763433240013458,1.3379732760405465,1.2971615102730025,1.2416969633275572,1.3707053025960103,1.5719438210062273,1.292280508198518,1.429519577491491,1.3120954672377685,1.411299565341841,1.3486774323078268,1.2826622389728184,1.2971615102730025,1.2685899478594485,1.259441961667204,1.1851686263755352,1.2971615102730032,1.3707053025960103,1.4546058309314362,1.2504783228278034,1.2685899478594487,1.160021652757119,1.3595872118530432,1.3274721243085148,1.237374006919122,1.3820344634437722,1.322296875270426,1.2874475128793201,1.317171425798551,1.2504783228278034,1.2732337325905985,1.487274987817045,1.348677432307827,1.4053373973358947,1.393577526165671,1.3994301760572483,1.4173170603461795,1.2685899478594487,1.307068694939552,1.2732337325905985,1.354106452817945,1.3274721243085148,1.48062231821863,1.2004556987101784,1.2685899478594487,1.192727535825189,1.2874475128793201,1.2922805081985185,1.2826622389728184,1.2330958693140275,1.2416969633275572,1.327472124308515,1.2874475128793197,1.1889270296871668,1.292280508198518,1.435705385437396,1.317171425798551,1.3120954672377687,1.3877790771860439,1.3541064528179452,1.2123690542314591,1.1368609246340935,1.4295195774914908,1.332697485625015,1.2779244048579723,1.3486774323078268,1.2373740069191217,1.3486774323078268,1.277924404857972,1.5007616793890892,1.2549372293634249,1.1498561020193747,1.4173170603461798,1.2779244048579723,1.332697485625015,1.4295195774914908,1.4546058309314367,1.3935775261656715,1.4173170603461798,1.4173170603461798,1.2685899478594485,1.2416969633275572,1.3020908082123828,1.3379732760405465,1.3994301760572483,1.332697485625015,1.2971615102730027
jmp,1,3,2.0749419037027073,2.123413521735319,2.1736756074413925,2.1609380373671927,2.2391406352327627,2.3076896609905164,2.225806340312401,2.148315983499859,1.9942062404333198,2.039718798596282,2.3217849043009666,1.8372754291840805,1.808314137318175,2.123413521735319,2.0989586039660293,2.1865299433972023,2.4091800031191157,1.9183682183638209,1.8372754291840814,1.9942062404333207,1.9942062404333207,2.27988893559621,1.9395561555310448,2.199502314558906,2.1234135217353196,1.9079145462968392,2.266180548454087,1.9183682183638213,2.1111307094664484,2.1234135217353196,1.8570136356642588,1.9183682183638209,2.0630950477412657,2.279888935596211,2.1111307094664484,2.0397187985962826,2.0054319984065287,2.1995023145589063,2.086896048451452,2.028187244871291,2.1111307094664484,2.2525982468139434,1.837275429184081,2.485883158387726,2.1358082154462696,1.9183682183638209,2.0868960484514525,1.9611243550290154,2.1865299433972023,1.9611243550290154,2.3360120441484775,2.27988893559621,2.3217849043009666,2.2125940102767974,2.2525982468139434,1.780109207664958,2.4394253544502726,1.9611243550290154,2.293724826161106,2.1234135217353196,2.2258063403124,2.074941903702707,2.27988893559621,2.0630950477412657,2.0054319984065287,2.0749419037027073,2.4091800031191157,1.9611243550290158,1.7526402331835875,2.028187244871291,2.016758658256574,1.9289151178933694,1.983080374631868,2.3217849043009666,2.3076896609905164,2.028187244871291,2.1865299433972014,2.1111307094664493,2.1609380373671927,2.039718798596282,2.086896048451452,1.983080374631868,2.0989586039660293,1.9079145462968397,2.1111307094664493,1.78942808808241,2.2525982468139434,2.1995023145589063,1.8275363293099984,1.939556155531044,1.8670143764756342,2.1865299433972023,2.2125940102767974,2.1111307094664484,2.1111307094664493,2.160938037367192,2.2391406352327627,2.225806340312401,2.1865299433972023,1.9720534062107737
jmp,2,0,4.609118878065686,3.9370797764033583,4.858410312867164,4.416140037726807,4.609118878065686,5.129294326708703,3.78498117158063,4.453728670982892,3.875147966962541,4.64927369366986,4.901988170006512,3.875147966962541,4.858410312867168,4.200492213784131,4.416140037726807,4.4918114461868095,4.09865179819286,3.506247498251887,4.773039452271914,3.613904548995098,5.176730569124985,3.968610472728861,3.7556299696596414,4.23529901306234,4.4918114461868095,4.64927369366986,4.270548713087527,5.373529842495609,4.416140037726807,4.689971633229968,4.569496883766836,3.8146806860878217,4.773039452271914,4.5694968837668375,5.273689484402336,4.0655400869542655,4.858410312867164,4.200492213784131,3.875147966962541,4.270548713087527,4.379036470584376,4.773039452271914,4.858410312867164,4.27054871308753,4.990989055279089,4.49181144618681,4.200492213784131,4.416140037726807,4.032833907823843,4.065540086954265,4.609118878065686,4.032833907823843,3.7556299696596422,4.858410312867164,3.9686104727288622,4.132176164968629,4.235299013062341,4.731223269112901,4.858410312867164,4.609118878065686,4.416140037726807,5.129294326708704,5.273689484402336,4.379036470584377,5.273689484402336,4.858410312867168,3.8751479669625417,4.609118878065686,4.773039452271917,4.379036470584378,4.609118878065686,5.036437202963119,4.689971633229968,5.32324180445517,4.990989055279092,4.098651798192857,4.491811446186811,5.176730569124985,4.30624933988374,4.379036470584379,4.166120480680518,4.901988170006511,4.901988170006511,4.13217616496863,5.3232418044551695,4.132176164968632,5.176730569124986,3.7266214123700525,5.273689484402336,4.453728670982892,4.815431321469166,4.200492213784131,4.815431321469164,4.773039452271914,3.726621412370052,4.270548713087527,4.990989055279089,4.416140037726809,4.731223269112901,4.032833907823843
jmp,2,1,1.7917132894744758,1.8141654134162866,1.6022400027975767,1.7084412933337416,1.5284733094149268,2.2563731953944908,1.645667186053963,1.8826166089183236,1.6432873413269846,1.6982056457081904,1.7526402331835873,1.6282164380525086,1.7228096784786928,1.5355577645003042,1.5500006335112162,1.7145353844052762,1.617795628496061,1.543268561279784,1.7311577413038606,1.6061105208795443,2.140159165018682,1.7207288239445253,1.8391354650955518,1.8284474908465056,1.7228096784786928,1.8476082578815203,1.748077680901722,1.8280401926136887,1.7171260554368803,1.7828308597968492,1.7480776809017209,1.6601068040774254,1.9108019589723682,1.6177956284960606,2.331287415860365,1.712745950886396,1.982201719040548,1.8224146546228186,1.7653003055404706,1.6282164380525086,1.865677153469423,2.0208154814038863,2.107273143160142,2.020815481403887,1.894793515768872,2.107273143160142,1.7687930578551603,1.6742491647804474,2.292308276075791,1.6748097076895483,1.5571946299821322,2.0009030586911782,1.5643426139789627,2.000004707683998,1.5284733094149268,1.8551715354133593,2.023750144602852,1.6897799863370309,1.8284474908465056,1.8561425037320507,1.8006747350497339,1.8947935157688716,2.0868008403932228,1.6828413840348255,1.9694746251893658,1.6579095187412445,1.6282164380525086,1.8551715354133576,1.9046724132950792,1.7063342427947281,1.855171535413358,1.6661469645989757,1.7084412933337416,1.9146393804988033,1.9203650257888905,1.7566508331912172,1.9648874990668759,1.7801092076649578,2.106603410648457,1.8551715354133576,1.7281357344785702,1.743644049050611,1.8642388448842153,1.4674961061840752,1.7084412933337416,1.736337644197293,1.7708720931068205,1.6601068040774254,1.865677153469423,1.9495687768758965,1.8284474908465054,1.5775485384766639,1.9869450339495753,1.6742491647804465,1.591700834738784,1.8561425037320507,1.9976473306109417,1.6134131313144735,2.0313606888895843,2.096505002488005
jmp,2,2,2.170532242037437,2.191181197952559,2.2038869408837933,2.248762980060517,2.1637140013015173,2.0296513602011905,2.137319670870733,2.095130724934493,2.1511784141069024,2.104395316280784,2.08426002762537,2.192895028780989,2.1349831008419002,2.1444371579226957,2.0748338825944663,2.221745376923933,1.987732871926151,2.2786181424687664,2.105729795462347,2.167198347831969,2.1545064123149054,2.2346005584396145,2.2678232177033637,2.2023260320896885,2.0512367830707294,2.316978312202548,2.166452891729654,1.9870795557842618,2.221880034619735,2.06144786840922,2.1251787703976097,2.137748767674874,2.1081850590601365,2.1206542817642666,1.9691236232233338,2.244226491772838,2.169383453567905,2.196730650199938,2.187967811378212,2.2750767449686156,2.0046675280500845,2.1710234704355345,2.202683956707307,2.1430313892028914,2.1280025570227346,2.1357813498302294,2.2212823703332525,2.197228320616298,2.267405954497849,2.251880668218444,2.273159225767734,2.228026163769848,2.209044588411664,2.2288462395541906,2.2021756085676754,2.126971445923929,2.2116289798950044,2.0535461224198417,2.1584905080028167,1.9960881787272793,2.0686126492436907,2.0307697431866947,1.9867971357290448,2.087965752074732,2.124025887341931,2.0542878917148926,2.147382940114295,2.2096727489694987,2.0799248224960207,1.9867971357290455,1.9506511396900226,2.054287891714892,2.1228244572384076,2.031931339572623,2.085923611412886,2.267405954497849,2.241474411898267,2.0778306723001014,2.233237078448334,2.236187784870908,2.1956275873741875,1.9368187795229503,2.2562915922009896,2.025584190533286,2.0920635363347695,2.1826602039824747,2.051729776713577,2.251880668218444,2.1305064682324932,2.1012558674154738,2.3223972283298524,2.0737227580348194,2.109058074206752,2.170915787866795,2.1530282228183593,2.149744191577998,2.0054619362409363,2.189023328895895,2.130248869326147,1.937312068493809
jmp,2,3,3.4474959681675106,3.303574753780668,3.4557453539678953,3.1579963050464266,3.8646677169961245,3.1659168824589585,2.9452237128469583,3.149502473479345,3.2091571336364173,3.0337922342174792,3.30843008136922,3.5572009545935197,3.1251753176258203,3.2270084172811258,2.922548878043196,3.011230287135689,3.1722197447577276,3.1398462553509354,3.1669521118439,3.0215966385414936,3.2800218771322145,3.505136426134219,3.248710819163893,3.347369938327286,3.2203809083158017,3.1024077935910923,3.540887980043466,3.4309936191637713,3.1185772722780407,2.9670846718459973,3.372824073368349,3.3525388778521994,3.540362730606833,3.098131985675216,3.4786967785127327,3.35534783857784,3.3318785389838235,3.0896152405562702,3.1528682307389118,3.15865878340577,3.046557880664584,3.335196115494166,3.2574133946892467,3.2084407313533,3.4050655504394163,3.657136757044525,3.352167485150009,3.19066710812744,3.256770198777369,3.620623934475438,3.2735156109257604,3.0533387750628047,3.316256732790212,3.309384241558786,3.1484120552330417,3.157732155758437,3.2355596420730754,3.3762487607216105,3.5455806255049307,3.0804219903577303,2.8257054559924053,3.3190941104154166,3.441338816912559,3.073083624034858,3.4675894422786295,3.1937205771300246,3.016863123746886,3.2617632397083134,3.70126104141147,3.373400118639794,3.4079216482584815,3.3036892055810947,3.3422287796191315,3.1447342872907313,3.3120211445387695,3.5853195482182274,3.116290594984462,3.445148770816236,3.3135670923690594,3.250368409142185,3.2819698949942624,3.4359684421134724,3.2187339207458994,3.165880589094158,3.296895539459634,3.232548897852148,3.409172566318391,3.585001401115557,3.5261977271168794,3.1193552245517626,3.3899005618913076,2.9845906573299517,3.482463490658895,3.321085246223925,3.1668578702594488,3.447526784048187,3.299602006976276,3.4262769676623623,3.1647927991660505,3.842356923206885
jmp,4,0,4.065540086954263,4.270548713087527,4.5694968837668375,4.64927369366986,4.200492213784131,4.23529901306234,4.032833907823843,4.858410312867164,5.082534478455828,4.200492213784131,4.990989055279092,3.613904548995098,3.697949956004477,4.032833907823843,5.528969748453189,4.815431321469164,5.273689484402334,3.78498117158063,4.64927369366986,3.875147966962541,4.858410312867164,4.032833907823843,4.342409116797206,4.990989055279088,3.8447343088713017,4.689971633229968,4.235299013062339,4.30624933988374,5.323241804455169,5.42456951269558,4.200492213784131,4.530397669305772,4.5303976693057715,4.23529901306234,4.2004922137841305,4.530397669305772,5.273689484402338,5.582364536588205,4.453728670982892,5.476377194246454,4.30624933988374,5.3232418044551695,5.42456951269558,3.7849811715806307,5.082534478455828,4.689971633229967,4.858410312867164,4.530397669305772,4.815431321469164,4.5694968837668375,5.424569512695581,4.132176164968632,4.946176954188088,5.804331821230013,4.16612048068052,4.379036470584376,4.270548713087527,3.968610472728861,3.905927722463459,4.200492213784131,4.342409116797206,4.379036470584379,4.5694968837668375,4.68997163322997,4.731223269112901,5.036437202963121,4.5694968837668375,5.129294326708703,3.814680686087824,4.569496883766836,4.901988170006511,4.946176954188086,5.082534478455828,4.815431321469166,4.4918114461868095,4.990989055279089,5.129294326708703,3.875147966962541,5.129294326708704,3.9370797764033565,4.416140037726806,4.990989055279092,5.224857416812803,4.815431321469166,4.946176954188086,4.9909890552790905,4.032833907823843,4.609118878065686,4.815431321469166,3.905927722463459,4.731223269112901,4.64927369366986,3.9370797764033574,4.858410312867168,4.453728670982892,4.032833907823843,4.49181144618681,4.491811446186812,3.875147966962541,5.224857416812803
jmp,4,1,2.318881612089587,2.2809433818334224,2.6061150500106116,2.5587948758084322,2.47601050772385,2.6315868801502784,2.4139112483454976,2.317384509257353,2.5526015623712417,2.5625370564177237,2.495664067434004,2.3803309167403865,2.4757239510603055,2.577820060690018,2.481778075070778,2.395966290247771,2.4618067315986516,2.539874841882648,2.4417902609562425,2.5648862111826998,2.5653472612218917,2.376484117678955,2.535733393074751,2.5771701147556207,2.743559522453826,2.6032948766234987,2.372778092099941,2.4414608430165847,2.5082175298594613,2.4003784045738796,2.64576501847657,2.3417914460413183,2.4242995372144662,2.5524489076251102,2.453923148288073,2.4781640386938655,2.751608886511277,2.531091979335539,2.7603858157657766,2.7043858096020283,2.3435569828917213,2.539251518810216,2.7402536236913906,2.3817559664883308,2.5842734109639034,2.7229733193839767,2.607567040205372,2.510183958746879,2.66551139526245,2.768511014923563,2.405273534126828,2.5000343252911326,2.464985130969638,2.462827080247503,2.461385272934505,2.627872763701082,2.6992753469646127,2.76998539712348,2.874815963795346,2.780702600964998,2.6389316486038243,2.466589255706639,2.324464204734963,2.577966046616849,2.4659461517751766,2.649627050408035,2.6729988268305647,2.447460422164919,2.4641294847060737,2.533503452882205,2.7489701780891003,2.440156374730713,2.3135145388574623,2.5804311983949972,2.490345588410395,2.3558749773668133,2.5403280953028697,2.7383787675025033,2.6597576715790376,2.5875474877650504,2.6427025237509625,2.341077520224493,2.6520897790171443,2.4782976071714238,2.6668563103339635,2.667912126857237,2.5943006443777583,2.482764847523566,2.7944825939700473,2.3884256248576117,2.530551964828219,2.371191892818677,2.749861945503515,2.706480822398959,2.638582735005119,2.875955870642029,2.5899639053662153,2.438455864046606,2.602458117024759,2.6064224580227933
