n,L_MPS_t,L_GAIL_t,S_QRNG_gc_t,S_QRNG_n_t,S_MPS_QMCPy_t
2.0,0.0001484553019205729,0.0001223882039388021,2.8769175211588543e-05,8.638699849446614e-05,0.0009388128916422526
4.0,0.00010911623636881511,0.00015044212341308594,2.6941299438476562e-05,5.316734313964844e-05,0.0005869865417480469
8.0,0.0001442432403564453,0.00020082791646321615,2.8133392333984375e-05,5.396207173665365e-05,0.0006513595581054688
16.0,0.00013971328735351562,0.00024080276489257812,2.8451283772786457e-05,5.427996317545573e-05,0.0005624294281005859
32.0,0.00016808509826660156,0.0002906322479248047,2.6941299438476562e-05,7.192293802897136e-05,0.0007973512013753256
64.0,0.0001700719197591146,0.00031185150146484375,2.9325485229492188e-05,5.95251719156901e-05,0.0008190472920735677
128.0,0.00018517176310221353,0.00038170814514160156,3.0040740966796875e-05,7.62939453125e-05,0.0010166168212890625
256.0,0.0002151330312093099,0.00045188268025716144,3.20275624593099e-05,7.025400797526042e-05,0.0014757315317789714
512.0,0.00020694732666015625,0.00046563148498535156,3.3696492513020836e-05,6.635983784993489e-05,0.0023682117462158203
1024.0,0.00025844573974609375,0.0005542437235514323,3.933906555175781e-05,8.567174275716145e-05,0.0036377906799316406
2048.0,0.00025089581807454425,0.0006013711293538412,4.863739013671875e-05,0.00010331471761067708,0.006659269332885742
4096.0,0.00031177202860514325,0.0007376670837402344,7.367134094238281e-05,9.687741597493489e-05,0.010696729024251303
8192.0,0.00039919217427571613,0.0008827845255533854,0.00010665257771809895,0.00012882550557454428,0.022325674692789715
16384.0,0.0006841818491617838,0.0018874804178873699,0.0002719561258951823,0.0003139972686767578,0.049347480138142906
32768.0,0.000778357187906901,0.002203782399495443,0.00035150845845540363,0.0004024505615234375,0.06828173001607259
65536.0,0.0013805230458577473,0.0046338240305582685,0.0006649494171142578,0.0007146199544270834,0.17211254437764487
131072.0,0.00347900390625,0.008243083953857422,0.0013279914855957031,0.001562198003133138,0.28812066713968915
262144.0,0.006434996922810872,0.018037716547648113,0.0027449925740559897,0.0030669371287027993,0.5487448374430338
524288.0,0.012895345687866211,0.0351258118947347,0.004969199498494466,0.005138715108235677,1.0502274831136067
1048576.0,0.022823492685953777,0.08272703488667806,0.010311603546142578,0.010511000951131185,2.090003252029419
