n,L_MPS_t,L_GAIL_t,S_QRNG_gc_t,S_QRNG_n_t,S_MPS_QMCPy_t,H_QRNG_t,H_Owen_t,K_QRNG_t
2.0,5.038579305013021e-05,6.532669067382812e-05,3.345807393391927e-05,1.7007191975911457e-05,1.6053517659505207e-05,1.2795130411783854e-05,0.0007161299387613932,7.017453511555989e-05
4.0,9.338061014811198e-05,9.878476460774739e-05,3.822644551595052e-05,2.8292338053385418e-05,2.1696090698242188e-05,1.4464060465494791e-05,0.0006506443023681641,5.53131103515625e-05
8.0,9.004275004069011e-05,0.00015203158060709635,7.486343383789062e-05,4.9114227294921875e-05,8.479754130045573e-05,3.4809112548828125e-05,0.000915368398030599,8.487701416015625e-05
16.0,0.00011293093363444011,0.0001728534698486328,2.6146570841471355e-05,1.71661376953125e-05,4.2597452799479164e-05,1.7563501993815105e-05,0.000728448232014974,0.00017603238423665365
32.0,0.00010911623636881511,0.00029842058817545575,0.00010307629903157552,4.307428995768229e-05,0.00016776720682779947,8.710225423177083e-05,0.0008354981740315756,6.29425048828125e-05
64.0,9.775161743164062e-05,0.00021664301554361978,2.757708231608073e-05,1.8358230590820312e-05,0.00013796488444010416,3.58422597249349e-05,0.0011710325876871746,6.286303202311198e-05
128.0,0.0001758734385172526,0.0003008842468261719,4.887580871582031e-05,3.20275624593099e-05,0.0003330707550048828,8.948644002278645e-05,0.0009943644205729167,6.318092346191406e-05
256.0,0.00027171770731608075,0.0006020863850911459,0.00011285146077473958,2.47955322265625e-05,0.0008436044057210287,0.00012183189392089844,0.001565376917521159,6.477038065592448e-05
512.0,0.00017627080281575522,0.00031797091166178387,3.2107035319010414e-05,2.3603439331054688e-05,0.0020487308502197266,0.0002974669138590495,0.0021505355834960938,6.969769795735677e-05
1024.0,0.0001758734385172526,0.00041111310323079425,6.802876790364583e-05,3.6557515462239586e-05,0.0036073525746663413,0.00047906239827473957,0.003215233484903971,0.00018994013468424478
2048.0,0.00030763943990071613,0.0004737377166748047,5.0067901611328125e-05,3.822644551595052e-05,0.005868355433146159,0.0008335908253987631,0.0051784515380859375,7.295608520507812e-05
4096.0,0.00044727325439453125,0.0010099411010742188,0.00013534228006998697,7.93139139811198e-05,0.00864426294962565,0.0023228327433268228,0.008374532063802084,8.869171142578125e-05
8192.0,0.00030485788981119793,0.0008335908253987631,0.00013343493143717447,9.934107462565105e-05,0.019358317057291668,0.003287156422932943,0.01289820671081543,0.00012071927388509114
16384.0,0.0004044373830159505,0.0015262762705485027,0.0002776781717936198,0.00022951761881510416,0.03268822034200033,0.00664512316385905,0.027260700861612957,0.0002792676289876302
32768.0,0.0006331602732340494,0.002582708994547526,0.0006526311238606771,0.0004533131917317708,0.09018524487813313,0.01601433753967285,0.08021187782287598,0.0004220008850097656
65536.0,0.001481930414835612,0.006440321604410808,0.001077890396118164,0.0015437602996826172,0.19706090291341147,0.032237847646077476,0.12745841344197592,0.0006955464680989584
131072.0,0.002940018971761068,0.009338935216267904,0.0018680890401204426,0.0013953844706217449,0.29939818382263184,0.053871870040893555,0.35013214747111004,0.002683401107788086
262144.0,0.010117212931315104,0.01721302668253581,0.0028181870778401694,0.0025472640991210938,0.4932422637939453,0.11001388231913249,0.4612022240956624,0.0025873184204101562
524288.0,0.013316869735717773,0.03457760810852051,0.005566596984863281,0.005324045817057292,0.9498805205027262,0.22275559107462564,0.9432807763417562,0.005158662796020508
1048576.0,0.022962490717569988,0.0812698205312093,0.011200825373331705,0.010526259740193685,1.9286965529123943,0.4516083399454753,1.899877389272054,0.010391712188720703
