Stopping Criterion,Distribution,MC/QMC,mean_shift,solution,n_samples,time
CubMCCLT,IIDStdUniform,MC,-0.2,1.7793490659462254,389983.0,0.7953787644704183
CubMCCLT,IIDStdUniform,MC,-0.1,1.7849814689466037,332320.0,0.6578356424967448
CubMCCLT,IIDStdUniform,MC,0.0,1.7850752248755046,284051.0,0.5630567868550619
CubMCCLT,IIDStdUniform,MC,0.1,1.788394186072641,243658.0,0.47910404205322266
CubMCCLT,IIDStdUniform,MC,0.2,1.7867259558830222,209510.0,0.4171406428019206
CubMCCLT,IIDStdUniform,MC,0.3,1.788455141140903,181035.0,0.3665095965067546
CubMCCLT,IIDStdUniform,MC,0.4,1.789489496740288,157089.0,0.3260933558146159
CubMCCLT,IIDStdUniform,MC,0.5,1.7940838052981922,136939.0,0.28735629717508954
CubMCCLT,IIDStdUniform,MC,0.6,1.7921916750069853,120036.0,0.2537696361541748
CubMCCLT,IIDStdUniform,MC,0.7,1.7918527864142864,105880.0,0.22992952664693198
CubMCCLT,IIDStdUniform,MC,0.8,1.7882862110627684,93805.0,0.2067582607269287
CubMCCLT,IIDStdUniform,MC,0.9,1.7904871929235397,84150.0,0.18591698010762533
CubMCCLT,IIDStdUniform,MC,1.0,1.788642030889136,76558.0,0.17149845759073892
CubMCCLT,IIDStdUniform,MC,1.1,1.7888226596545997,70951.0,0.16234970092773438
CubMCCLT,IIDStdUniform,MC,1.2,1.790068362539418,67582.0,0.159100612004598
CubMCCLT,IIDStdUniform,MC,1.3,1.7890459040532427,66801.0,0.1592092514038086
CubMCCLT,IIDStdUniform,MC,1.4,1.7876313115968985,68443.0,0.16075666745503744
CubMCCLT,IIDStdUniform,MC,1.5,1.7847523681889481,72807.0,0.16660873095194498
CubMCCLT,IIDStdUniform,MC,1.6,1.779995812893054,79857.0,0.17789189020792642
CubMCCLT,IIDStdUniform,MC,1.7,1.774247809570079,88821.0,0.19262258211771646
CubMCCLT,IIDStdUniform,MC,1.8,1.767084490457065,100182.0,0.21316107114156088
CubMCCLT,IIDStdUniform,MC,1.9,1.7654294495666303,113490.0,0.23806182543436685
CubMCCLT,IIDStdUniform,MC,2.0,1.7653683828825555,129008.0,0.2653024196624756
