Stopping Criterion,Distribution,MC/QMC,mean_shift,solution,n_samples,time
CLT,IIDStdUniform,MC,-0.2,1.780301367599064,446769.0,1.2867938006675104
CLT,IIDStdUniform,MC,-0.1,1.7807251245504159,382030.0,0.8811664559992399
CLT,IIDStdUniform,MC,0.0,1.7835147816199433,323871.0,0.6567922633342581
CLT,IIDStdUniform,MC,0.1,1.7828007663372774,272977.0,0.72791720266711
CLT,IIDStdUniform,MC,0.2,1.7829963713740231,229932.0,0.4701272800011793
CLT,IIDStdUniform,MC,0.3,1.7903401847167253,194250.0,0.38679667633308173
CLT,IIDStdUniform,MC,0.4,1.7906053853790052,164781.0,0.3364428363335416
CLT,IIDStdUniform,MC,0.5,1.78812953746944,141154.0,0.2934107713335834
CLT,IIDStdUniform,MC,0.6,1.7952934598548402,122412.0,0.26074762700106174
CLT,IIDStdUniform,MC,0.7,1.7931422791856215,107882.0,0.21957584866686375
CLT,IIDStdUniform,MC,0.8,1.7953551358004478,96653.0,0.2054296463332624
CLT,IIDStdUniform,MC,0.9,1.791243772567859,88181.0,0.18145055966670043
CLT,IIDStdUniform,MC,1.0,1.7909357801425287,82218.0,0.1701474066673351
CLT,IIDStdUniform,MC,1.1,1.7870381375562208,78501.0,0.1682297426656684
CLT,IIDStdUniform,MC,1.2,1.7875833868495077,76432.0,0.16125418999945396
CLT,IIDStdUniform,MC,1.3,1.7888340384654784,75849.0,0.16333682433347954
CLT,IIDStdUniform,MC,1.4,1.7892708929829573,76695.0,0.15706877399982963
CLT,IIDStdUniform,MC,1.5,1.7910257739445352,78645.0,0.18449837833395577
CLT,IIDStdUniform,MC,1.6,1.7918663575099967,81471.0,0.1839626936671266
CLT,IIDStdUniform,MC,1.7,1.7944957232417262,85020.0,0.19383384366665268
CLT,IIDStdUniform,MC,1.8,1.7944114205454074,89029.0,0.19927083133370616
CLT,IIDStdUniform,MC,1.9,1.7965460190183788,92805.0,0.22168866466745385
CLT,IIDStdUniform,MC,2.0,1.7969670920049108,96105.0,0.2258427686659464
CLT,IIDStdUniform,MC,2.1,1.7972531632567625,98104.0,0.2405244509985399
CLT,IIDStdUniform,MC,2.2,1.798850609095864,99245.0,0.22577703400020255
CLT,IIDStdUniform,MC,2.3,1.8001774284589633,101228.0,0.2289017723329986
CLT,IIDStdUniform,MC,2.4,1.8007217062042116,105041.0,0.26030615866814816
CLT,IIDStdUniform,MC,2.5,1.796598454587338,110207.0,0.3680231140012135
CLT,IIDStdUniform,MC,2.6,1.8012790768928824,115663.0,0.290981489000842
CLT,IIDStdUniform,MC,2.7,1.8036508655722632,121709.0,0.34204366366611794
CLT,IIDStdUniform,MC,2.8,1.799611809688508,128914.0,0.3290698406660037
CLT,IIDStdUniform,MC,2.9,1.7978063939983293,137505.0,0.32467057833249174
CLT,IIDStdUniform,MC,3.0,1.788646327842659,147507.0,0.34757996666545904
CLT,IIDStdGaussian,MC,-0.2,1.7823685368641835,565466.0,0.4710012236658561
CLT,IIDStdGaussian,MC,-0.1,1.7883561497363178,456973.0,0.3782393426663475
CLT,IIDStdGaussian,MC,0.0,1.7888936086776053,372201.0,0.2946407156669011
CLT,IIDStdGaussian,MC,0.1,1.7818644384731812,305470.0,0.2619791280012578
CLT,IIDStdGaussian,MC,0.2,1.7845379792316785,253015.0,0.1997652919999382
CLT,IIDStdGaussian,MC,0.3,1.7792967885523552,211896.0,0.16660967333276253
CLT,IIDStdGaussian,MC,0.4,1.783422737649741,179449.0,0.1440172163323344
CLT,IIDStdGaussian,MC,0.5,1.7773360843138999,153760.0,0.12428758966658886
CLT,IIDStdGaussian,MC,0.6,1.7734424804495401,133413.0,0.10958042800120893
CLT,IIDStdGaussian,MC,0.7,1.76747038784697,117460.0,0.0925551239985604
CLT,IIDStdGaussian,MC,0.8,1.7668937245788119,104851.0,0.08145883233495017
CLT,IIDStdGaussian,MC,0.9,1.7719518470240587,94925.0,0.07363770800050891
CLT,IIDStdGaussian,MC,1.0,1.7717773772317293,87311.0,0.06844223800120137
CLT,IIDStdGaussian,MC,1.1,1.770178002566656,81982.0,0.06322310533262983
CLT,IIDStdGaussian,MC,1.2,1.773608425895606,77964.0,0.06095593266703266
CLT,IIDStdGaussian,MC,1.3,1.7726930980773075,74845.0,0.05946922333411445
CLT,IIDStdGaussian,MC,1.4,1.7749108423363926,72620.0,0.054947098332680376
CLT,IIDStdGaussian,MC,1.5,1.774856047519572,71711.0,0.059000796667532995
CLT,IIDStdGaussian,MC,1.6,1.775868639618175,72020.0,0.055518461334334766
CLT,IIDStdGaussian,MC,1.7,1.7776682522177516,72900.0,0.05806144333231108
CLT,IIDStdGaussian,MC,1.8,1.7801757342326525,74917.0,0.057348497000930365
CLT,IIDStdGaussian,MC,1.9,1.7811310908079125,78846.0,0.061283369999728166
CLT,IIDStdGaussian,MC,2.0,1.7775634812771226,83630.0,0.06552541133351042
CLT,IIDStdGaussian,MC,2.1,1.7769588992496541,88516.0,0.06975209966670566
CLT,IIDStdGaussian,MC,2.2,1.7721925290784342,97308.0,0.07772461633309528
CLT,IIDStdGaussian,MC,2.3,1.7730975466083994,110752.0,0.08758203699956842
CLT,IIDStdGaussian,MC,2.4,1.7724218296093273,127538.0,0.10492998666571414
CLT,IIDStdGaussian,MC,2.5,1.769761770317843,148525.0,0.12161390333373372
CLT,IIDStdGaussian,MC,2.6,1.776578260158877,174272.0,0.14102723199782
CLT,IIDStdGaussian,MC,2.7,1.7781673734911714,208033.0,0.16344091300076494
CLT,IIDStdGaussian,MC,2.8,1.7809516934759533,247859.0,0.19342294133457472
CLT,IIDStdGaussian,MC,2.9,1.783417404034586,293603.0,0.23449232866672295
CLT,IIDStdGaussian,MC,3.0,1.7805293571332539,348886.0,0.3271101696664118
MeanMC_g,IIDStdUniform,MC,-0.2,1.777732906146493,573643.0,1.8427354863330645
MeanMC_g,IIDStdUniform,MC,-0.1,1.7808884209830353,493991.0,1.2452553353335436
MeanMC_g,IIDStdUniform,MC,0.0,1.7808486808429385,422240.0,0.9195838046665207
MeanMC_g,IIDStdUniform,MC,0.1,1.7805826284542678,359265.0,0.7676042446667756
MeanMC_g,IIDStdUniform,MC,0.2,1.7837607130905937,305837.0,0.6594560390003608
MeanMC_g,IIDStdUniform,MC,0.3,1.785598996953529,261410.0,0.7116637499990853
MeanMC_g,IIDStdUniform,MC,0.4,1.7834494896230648,224609.0,0.44820946166752645
MeanMC_g,IIDStdUniform,MC,0.5,1.7889421943858583,195027.0,0.3966380406660998
MeanMC_g,IIDStdUniform,MC,0.6,1.7909772020713577,171514.0,0.35514060800051084
MeanMC_g,IIDStdUniform,MC,0.7,1.791614197227786,153261.0,0.32397232366686995
MeanMC_g,IIDStdUniform,MC,0.8,1.7896160291449688,139150.0,0.2903954699989602
MeanMC_g,IIDStdUniform,MC,0.9,1.7922778937545931,128509.0,0.2537079950003924
MeanMC_g,IIDStdUniform,MC,1.0,1.7950477749563154,121027.0,0.2438984716657918
MeanMC_g,IIDStdUniform,MC,1.1,1.7941299516338383,116371.0,0.2390582006664772
MeanMC_g,IIDStdUniform,MC,1.2,1.794703384160899,113781.0,0.24187905466654533
MeanMC_g,IIDStdUniform,MC,1.3,1.7965380701612255,113052.0,0.2256065119994067
MeanMC_g,IIDStdUniform,MC,1.4,1.7975736903275863,114110.0,0.2279946549994444
MeanMC_g,IIDStdUniform,MC,1.5,1.79595657362497,116551.0,0.23379777833179105
MeanMC_g,IIDStdUniform,MC,1.6,1.7949245323283003,120091.0,0.2398111136656856
MeanMC_g,IIDStdUniform,MC,1.7,1.7918775777688924,124542.0,0.2449571013324506
MeanMC_g,IIDStdUniform,MC,1.8,1.7902340115017992,129574.0,0.25947726500210894
MeanMC_g,IIDStdUniform,MC,1.9,1.78798533089459,134317.0,0.2700909013328783
MeanMC_g,IIDStdUniform,MC,2.0,1.7853456333378388,138462.0,0.2744463720009662
MeanMC_g,IIDStdUniform,MC,2.1,1.786383574728874,140973.0,0.278678754332456
MeanMC_g,IIDStdUniform,MC,2.2,1.786630843978097,142407.0,0.2850687993328999
MeanMC_g,IIDStdUniform,MC,2.3,1.7883976329043587,144899.0,0.30824593066669576
MeanMC_g,IIDStdUniform,MC,2.4,1.7890574798678245,149690.0,0.3121942290005488
MeanMC_g,IIDStdUniform,MC,2.5,1.793407332334419,156183.0,0.31831290133292595
MeanMC_g,IIDStdUniform,MC,2.6,1.7944222687356362,163037.0,0.3490801756658281
MeanMC_g,IIDStdUniform,MC,2.7,1.7970736384790065,170630.0,0.3491774343334934
