Stopping Criterion,Distribution,MC/QMC,abs_tol,solution,n_samples,time
CubMcClt,IIDStdUniform,MC,0.002,2.1683189442878428,11748149.0,4.02633972333327
CubMcClt,IIDStdUniform,MC,0.0022,2.1687078730102525,9709569.0,3.619981431999804
CubMcClt,IIDStdUniform,MC,0.0024000000000000002,2.1682576372574593,8159063.0,2.8881887183333674
CubMcClt,IIDStdUniform,MC,0.0026000000000000003,2.1683988326963464,6952404.0,2.4396785723335292
CubMcClt,IIDStdUniform,MC,0.0028000000000000004,2.168210043695224,5994957.0,2.037851669999933
CubMcClt,IIDStdUniform,MC,0.0030000000000000005,2.1681764862023027,5222537.0,1.7837441029999657
CubMcClt,IIDStdUniform,MC,0.0032000000000000006,2.1678168755955625,4590369.0,1.5736645556665583
CubMcClt,IIDStdUniform,MC,0.0034000000000000007,2.1674788527465405,4066443.0,1.399238467000335
CubMcClt,IIDStdUniform,MC,0.0036000000000000008,2.168303914501171,3627388.0,1.2492212146662496
CubMcClt,IIDStdUniform,MC,0.003800000000000001,2.1684533179336394,3255816.0,1.1156050353335256
CubMcClt,IIDStdUniform,MC,0.004000000000000001,2.168921186206798,2938574.0,1.0109981956669192
CubMcClt,IIDStdUniform,MC,0.004200000000000001,2.168805913315189,2665563.0,0.922745375333155
CubMcClt,IIDStdUniform,MC,0.004400000000000001,2.169373725677643,2428929.0,0.8445522043330129
CubMcClt,IIDStdUniform,MC,0.004600000000000002,2.1688737369638997,2222483.0,0.7765786153337709
CubMcClt,IIDStdUniform,MC,0.004800000000000001,2.1690787040659365,2041302.0,0.7189598846671288
CubMcClt,IIDStdUniform,MC,0.005000000000000001,2.1691591886575248,1881425.0,0.6645093226667692
CubMcClt,IIDStdUniform,MC,0.0052000000000000015,2.1694134812321426,1739637.0,0.6164578150001034
CubMcClt,IIDStdUniform,MC,0.005400000000000002,2.169254752127107,1613311.0,0.5758641566665877
CubMcClt,IIDStdUniform,MC,0.005600000000000002,2.1692939019370954,1500276.0,0.5371033106663768
CubMcClt,IIDStdUniform,MC,0.005800000000000001,2.1688385523737983,1398731.0,0.49180965566696005
CubMcClt,IIDStdUniform,MC,0.006000000000000002,2.168984627275995,1307171.0,0.4643047523334947
CubMcClt,IIDStdUniform,MC,0.006200000000000002,2.168977142228602,1224327.0,0.4376700279999568
CubMcClt,IIDStdUniform,MC,0.006400000000000002,2.1689514035126662,1149129.0,0.40937814599995664
CubMcClt,IIDStdUniform,MC,0.006600000000000002,2.1690575959449045,1080662.0,0.38835313633323193
CubMcClt,IIDStdUniform,MC,0.006800000000000002,2.1695511135484855,1018147.0,0.3681169289999768
CubMcClt,IIDStdUniform,MC,0.007000000000000003,2.1688383524654222,960914.0,0.3471928729998884
CubMcClt,IIDStdUniform,MC,0.007200000000000002,2.1691564195793065,908383.0,0.3309530793333882
CubMcClt,IIDStdUniform,MC,0.007400000000000002,2.169236194628496,860054.0,0.3168635526665942
CubMcClt,IIDStdUniform,MC,0.007600000000000003,2.169344623435902,815490.0,0.2982344513335799
CubMcClt,IIDStdUniform,MC,0.007800000000000003,2.1710252744263627,774310.0,0.2874015633333329
CubMcClt,IIDStdUniform,MC,0.008000000000000004,2.1710896602545313,736180.0,0.2743038019998494
CubMcClt,IIDStdUniform,MC,0.008200000000000002,2.171838869343812,700805.0,0.26214009799999377
CubMcClt,IIDStdUniform,MC,0.008400000000000003,2.172202574742823,667927.0,0.2520630643333182
CubMcClt,IIDStdUniform,MC,0.008600000000000003,2.172421800179332,637316.0,0.2432637829997475
CubMcClt,IIDStdUniform,MC,0.008800000000000002,2.1739283445929796,608769.0,0.233994386999863
CubMcClt,IIDStdUniform,MC,0.009000000000000003,2.173254671059502,582103.0,0.2258280243331683
CubMcClt,IIDStdUniform,MC,0.009200000000000003,2.173361142590913,557157.0,0.21613404866669347
CubMcClt,IIDStdUniform,MC,0.009400000000000004,2.173818457486013,533787.0,0.2085647716667154
CubMcClt,IIDStdUniform,MC,0.009600000000000004,2.174252112860526,511862.0,0.20379234599992438
CubMcClt,IIDStdUniform,MC,0.009800000000000003,2.1744428422151882,491266.0,0.19734980700013693
CubMcClt,IIDStdUniform,MC,0.010000000000000004,2.17444675007357,471893.0,0.19017705100001572
CubMcClt,IIDStdUniform,MC,0.010200000000000004,2.174705281886696,453648.0,0.18532250200011427
CubMcClt,IIDStdUniform,MC,0.010400000000000005,2.1746386463157585,436446.0,0.17947237466675384
CubMcClt,IIDStdUniform,MC,0.010600000000000004,2.1746878540896226,420208.0,0.1741806910000984
CubMcClt,IIDStdUniform,MC,0.010800000000000004,2.1736385791592516,404864.0,0.1711345550002079
CubMcClt,IIDStdUniform,MC,0.011000000000000005,2.173311584696873,390349.0,0.16701695266662378
CubMcClt,IIDStdUniform,MC,0.011200000000000003,2.1749247848458895,376605.0,0.16163673366645526
CubMcClt,IIDStdUniform,MC,0.011400000000000004,2.174718064138848,363578.0,0.15905440566681742
CubMcClt,IIDStdUniform,MC,0.011600000000000004,2.1738656664386826,351219.0,0.15412344033332678
CubMcClt,IIDStdUniform,MC,0.011800000000000005,2.174845817217503,339483.0,0.15064348766676025
CubMcClt,IIDStdUniform,MC,0.012000000000000005,2.1754999380286697,328329.0,0.1470915383333704
CubMcClt,IIDStdUniform,MC,0.012200000000000004,2.1766357783046266,317719.0,0.1447815936665696
