"" "sobol_times"
"1" 2 0.000139749050140381
"2" 4 0.000169014930725098
"3" 8 0.000144445896148682
"4" 16 0.000157457590103149
"5" 32 0.000167322158813477
"6" 64 0.000148242712020874
"7" 128 0.000171554088592529
"8" 256 0.000161892175674438
"9" 512 0.000154364109039307
"10" 1024 0.000195586681365967
"11" 2048 0.000211882591247559
"12" 4096 0.000272285938262939
"13" 8192 0.000512391328811646
"14" 16384 0.000729101896286011
"15" 32768 0.00120080709457397
"16" 65536 0.00206782221794128
"17" 131072 0.00447971224784851
"18" 262144 0.0141633212566376
"19" 524288 0.0279763400554657
"20" 1048576 0.0700641095638275
