Stopping Criterion,Distribution,MC/QMC,mean_shift,solution,n_samples,time
CLT,IIDStdUniform,MC,-0.2,1.780301367599064,446769.0,1.2766300996666666
CLT,IIDStdUniform,MC,-0.1,1.7807251245504159,382030.0,1.1342384613333332
CLT,IIDStdUniform,MC,0.0,1.7835147816199433,323871.0,1.0170198053333337
CLT,IIDStdUniform,MC,0.1,1.7828007663372774,272977.0,0.9019341376666669
CLT,IIDStdUniform,MC,0.2,1.7829963713740231,229932.0,0.7887141083333334
CLT,IIDStdUniform,MC,0.3,1.7903401847167253,194250.0,0.6989253869999992
CLT,IIDStdUniform,MC,0.4,1.7906053853790052,164781.0,0.64403105
CLT,IIDStdUniform,MC,0.5,1.78812953746944,141154.0,0.602611747333332
CLT,IIDStdUniform,MC,0.6,1.7952934598548402,122412.0,0.5637367246666661
CLT,IIDStdUniform,MC,0.7,1.7931422791856215,107882.0,0.5388354113333319
CLT,IIDStdUniform,MC,0.8,1.7953551358004478,96653.0,0.5286540319999998
CLT,IIDStdUniform,MC,0.9,1.7912437725678585,88181.0,0.4993545486666662
CLT,IIDStdUniform,MC,1.0,1.7909357801425287,82218.0,0.4909522723333322
CLT,IIDStdUniform,MC,1.1,1.7870381375562208,78501.0,0.4921486693333321
CLT,IIDStdUniform,MC,1.2,1.7875833868495077,76432.0,0.4765279110000004
CLT,IIDStdUniform,MC,1.3,1.7888340384654784,75849.0,0.481489603
CLT,IIDStdUniform,MC,1.4,1.7892708929829573,76695.0,0.48425627033333285
CLT,IIDStdUniform,MC,1.5,1.7910257739445352,78645.0,0.4885377133333317
CLT,IIDStdUniform,MC,1.6,1.7918663575099965,81471.0,0.4933463373333353
CLT,IIDStdUniform,MC,1.7,1.7944957232417262,85020.0,0.5076233509999994
CLT,IIDStdUniform,MC,1.8,1.7944114205454074,89029.0,0.5118636910000021
CLT,IIDStdUniform,MC,1.9,1.7965460190183784,92805.0,0.5181866383333329
CLT,IIDStdUniform,MC,2.0,1.7969670920049106,96105.0,0.5311567966666644
CLT,IIDStdUniform,MC,2.1,1.797253163256763,98104.0,0.5339364190000021
CLT,IIDStdUniform,MC,2.2,1.798850609095864,99245.0,0.538765516666667
CLT,IIDStdUniform,MC,2.3,1.8001774284589633,101228.0,0.5331763230000016
CLT,IIDStdUniform,MC,2.4,1.800721706204211,105041.0,0.5543006293333335
CLT,IIDStdUniform,MC,2.5,1.796598454587338,110207.0,0.5599361473333317
CLT,IIDStdUniform,MC,2.6,1.8012790768928824,115663.0,0.5648279896666679
CLT,IIDStdUniform,MC,2.7,1.8036508655722632,121709.0,0.5834753059999992
CLT,IIDStdUniform,MC,2.8,1.799611809688508,128914.0,0.5873613283333322
CLT,IIDStdUniform,MC,2.9,1.7978063939983293,137505.0,0.610112148333331
CLT,IIDStdUniform,MC,3.0,1.788646327842659,147507.0,0.633576265666664
CLT,IIDStdGaussian,MC,-0.2,1.7823685368641835,565466.0,0.8205998456666705
CLT,IIDStdGaussian,MC,-0.1,1.7883561497363178,456973.0,0.6966698683333306
CLT,IIDStdGaussian,MC,0.0,1.7888936086776053,372201.0,0.619728040000003
CLT,IIDStdGaussian,MC,0.1,1.7818644384731812,305470.0,0.5770381673333324
CLT,IIDStdGaussian,MC,0.2,1.784537979231679,253015.0,0.5393595363333313
CLT,IIDStdGaussian,MC,0.3,1.7792967885523552,211896.0,0.4975336090000013
CLT,IIDStdGaussian,MC,0.4,1.783422737649741,179449.0,0.4623826550000037
CLT,IIDStdGaussian,MC,0.5,1.7773360843138999,153760.0,0.4500330516666698
CLT,IIDStdGaussian,MC,0.6,1.7734424804495401,133413.0,0.40697463599999156
CLT,IIDStdGaussian,MC,0.7,1.76747038784697,117460.0,0.37322356266667117
CLT,IIDStdGaussian,MC,0.8,1.7668937245788128,104851.0,0.31485442799999913
CLT,IIDStdGaussian,MC,0.9,1.7719518470240587,94925.0,0.2984559316666662
CLT,IIDStdGaussian,MC,1.0,1.7717773772317293,87311.0,0.26762446366666853
CLT,IIDStdGaussian,MC,1.1,1.770178002566656,81982.0,0.2522411336666674
CLT,IIDStdGaussian,MC,1.2,1.773608425895606,77964.0,0.23790911499999842
CLT,IIDStdGaussian,MC,1.3,1.7726930980773077,74845.0,0.23618323833332985
CLT,IIDStdGaussian,MC,1.4,1.7749108423363922,72620.0,0.22630533499999692
CLT,IIDStdGaussian,MC,1.5,1.774856047519572,71711.0,0.22173745833332248
CLT,IIDStdGaussian,MC,1.6,1.775868639618175,72020.0,0.23375046000000074
CLT,IIDStdGaussian,MC,1.7,1.7776682522177516,72900.0,0.22441730766666504
CLT,IIDStdGaussian,MC,1.8,1.7801757342326525,74917.0,0.22661172066665833
CLT,IIDStdGaussian,MC,1.9,1.7811310908079125,78846.0,0.24297188566666725
CLT,IIDStdGaussian,MC,2.0,1.7775634812771226,83630.0,0.2559866900000003
CLT,IIDStdGaussian,MC,2.1,1.7769588992496541,88516.0,0.2710153123333375
CLT,IIDStdGaussian,MC,2.2,1.7721925290784342,97308.0,0.3068617266666678
CLT,IIDStdGaussian,MC,2.3,1.7730975466083994,110752.0,0.33082473633333126
CLT,IIDStdGaussian,MC,2.4,1.7724218296093273,127538.0,0.41801187333332734
CLT,IIDStdGaussian,MC,2.5,1.769761770317843,148525.0,0.4604636963333301
CLT,IIDStdGaussian,MC,2.6,1.7765782601588775,174272.0,0.49082265199999614
CLT,IIDStdGaussian,MC,2.7,1.7781673734911714,208033.0,0.5064671653333335
CLT,IIDStdGaussian,MC,2.8,1.7809516934759533,247859.0,0.5404775226666629
CLT,IIDStdGaussian,MC,2.9,1.783417404034586,293603.0,0.5712612460000059
CLT,IIDStdGaussian,MC,3.0,1.7805293571332539,348886.0,0.6152721279999961
MeanMC_g,IIDStdUniform,MC,-0.2,1.777732906146493,573643.0,1.5337997006666673
MeanMC_g,IIDStdUniform,MC,-0.1,1.780888420983035,493991.0,1.378242856999999
MeanMC_g,IIDStdUniform,MC,0.0,1.7808486808429385,422240.0,1.2286493753333332
MeanMC_g,IIDStdUniform,MC,0.1,1.7805826284542678,359265.0,1.0789130700000034
MeanMC_g,IIDStdUniform,MC,0.2,1.7837607130905937,305837.0,0.9713190109999962
MeanMC_g,IIDStdUniform,MC,0.3,1.785598996953529,261410.0,0.8610039846666666
MeanMC_g,IIDStdUniform,MC,0.4,1.7834494896230648,224609.0,0.7634090576666684
MeanMC_g,IIDStdUniform,MC,0.5,1.7889421943858583,195027.0,0.7097028566666571
MeanMC_g,IIDStdUniform,MC,0.6,1.7909772020713577,171514.0,0.6642743133333321
MeanMC_g,IIDStdUniform,MC,0.7,1.791614197227786,153261.0,0.6287568903333257
MeanMC_g,IIDStdUniform,MC,0.8,1.7896160291449688,139150.0,0.611038418000002
MeanMC_g,IIDStdUniform,MC,0.9,1.7922778937545931,128509.0,0.5871037223333436
MeanMC_g,IIDStdUniform,MC,1.0,1.7950477749563154,121027.0,0.5689517669999967
MeanMC_g,IIDStdUniform,MC,1.1,1.7941299516338383,116371.0,0.5717395419999983
MeanMC_g,IIDStdUniform,MC,1.2,1.7947033841608988,113781.0,0.5102797580000052
MeanMC_g,IIDStdUniform,MC,1.3,1.7965380701612255,113052.0,0.5583117946666599
MeanMC_g,IIDStdUniform,MC,1.4,1.7975736903275863,114110.0,0.5646219893333372
MeanMC_g,IIDStdUniform,MC,1.5,1.79595657362497,116551.0,0.5656758513333386
MeanMC_g,IIDStdUniform,MC,1.6,1.7949245323282998,120091.0,0.5786380870000111
MeanMC_g,IIDStdUniform,MC,1.7,1.791877577768892,124542.0,0.5837878580000032
MeanMC_g,IIDStdUniform,MC,1.8,1.7902340115017992,129574.0,0.596477377333334
MeanMC_g,IIDStdUniform,MC,1.9,1.78798533089459,134317.0,0.6120556853333406
MeanMC_g,IIDStdUniform,MC,2.0,1.7853456333378386,138462.0,0.6048820046666682
MeanMC_g,IIDStdUniform,MC,2.1,1.7863835747288743,140973.0,0.6147101609999955
