Stopping Criterion,Distribution,MC/QMC,dimension,solution,n_samples,time
CLT,IIDStdUniform,MC,1,1.3801742110340693,12942.0,0.003021840665799876
CLT,IIDStdUniform,MC,2,1.813477167849391,36504.0,0.016548985665091703
CLT,IIDStdUniform,MC,3,2.181765951635218,98628.0,0.07331695766697521
CLT,IIDStdUniform,MC,4,2.183509691791076,332491.0,0.21337042199957068
CLT,IIDStdUniform,MC,5,1.1345141709829447,3269997.0,1.9889589419981348
CLT,IIDStdUniform,MC,6,-2.3269633598670905,3570056.0,2.444708091667659
CLT,IIDStdUniform,MC,7,-11.040127568172144,465234.0,0.3727919416657339
CLT,IIDStdUniform,MC,8,-30.37113905894238,164387.0,0.16615159133410393
CLT,IIDStdUniform,MC,9,-71.02049673997344,75884.0,0.08975568000096246
CLT,IIDStdUniform,MC,10,-153.40767503060871,46050.0,0.05730941666600605
CLT,IIDStdUniform,MC,11,-313.505678912492,30293.0,0.04468191333459496
CLT,IIDStdUniform,MC,12,-619.5583727443044,22623.0,0.03774789766733496
CLT,IIDStdUniform,MC,13,-1195.3105606348338,15370.0,0.026246588999735348
CLT,IIDStdUniform,MC,14,-2273.9197796478234,12117.0,0.023592721333746642
CLT,IIDStdUniform,MC,15,-4241.810750690933,9183.0,0.01937914566709272
CLT,IIDStdUniform,MC,16,-7830.268808297003,7885.0,0.018642017334059346
CLT,IIDStdUniform,MC,17,-14276.613840612938,6631.0,0.01704676933271306
CLT,IIDStdUniform,MC,18,-25840.376011029715,5042.0,0.0170467363326073
CLT,IIDStdUniform,MC,19,-46485.78960020313,5159.0,0.015110752665350446
CLT,IIDStdUniform,MC,20,-82773.82686619725,4749.0,0.014814754000932831
CLT,IIDStdUniform,MC,21,-146343.66631183392,4865.0,0.014858870331712145
CLT,IIDStdUniform,MC,22,-257434.3157454432,5058.0,0.021740357665597305
CLT,IIDStdUniform,MC,23,-453722.0057510554,6015.0,0.021076342666977627
CLT,IIDStdUniform,MC,24,-788196.9487092103,6355.0,0.02168610466712077
CLT,IIDStdUniform,MC,25,-1364809.5230497909,8154.0,0.028394024999821948
CLT,IIDStdUniform,MC,26,-2353166.683443366,9626.0,0.03293097233351242
CLT,IIDStdUniform,MC,27,-4019949.8059863076,12157.0,0.04429540800022854
CLT,IIDStdUniform,MC,28,-6861511.2219941905,13775.0,0.05116452766621175
CLT,IIDStdUniform,MC,29,-11614133.840242079,16034.0,0.05864931866623616
CLT,IIDStdUniform,MC,30,-19534460.104434665,20293.0,0.080172868668645
CLT,IIDStdUniform,MC,31,-32681421.32545061,26264.0,0.1133602753325249
CLT,IIDStdUniform,MC,32,-54385043.233037986,29019.0,0.12891866700010723
CLT,IIDStdUniform,MC,33,-89550503.14105429,36869.0,0.15201595533411214
CLT,IIDStdUniform,MC,34,-146233292.63024554,47410.0,0.19151444299980844
CLT,IIDStdUniform,MC,35,-236651128.85279286,59873.0,0.23723523333319463
CLT,IIDStdUniform,MC,36,-378061839.8170951,71354.0,0.2878818603336792
CLT,IIDStdUniform,MC,37,-596541407.8748199,99758.0,0.4008986553332458
CLT,IIDStdUniform,MC,38,-927029862.589908,139180.0,0.572297864666325
CLT,IIDStdUniform,MC,39,-1408611624.6835167,193484.0,0.8117622596655565
CLT,IIDStdUniform,MC,40,-2065967627.4006891,285477.0,1.216158841332799
CLT,IIDStdGaussian,MC,1,1.3791118299289187,11943.0,0.005574448000212821
CLT,IIDStdGaussian,MC,2,1.8106166264583,36581.0,0.003459128667600453
CLT,IIDStdGaussian,MC,3,2.1737775458074484,100036.0,0.012633763667205736
CLT,IIDStdGaussian,MC,4,2.1694406211495503,323116.0,0.041001849333648956
CLT,IIDStdGaussian,MC,5,1.1351483328585033,3532034.0,0.46843528099998366
CLT,IIDStdGaussian,MC,6,-2.3251694968098873,3400719.0,0.514294942334042
CLT,IIDStdGaussian,MC,7,-11.043751835588287,422373.0,0.07881447766582521
CLT,IIDStdGaussian,MC,8,-30.525936854496482,177984.0,0.04105800066705948
CLT,IIDStdGaussian,MC,9,-71.54231765415355,90348.0,0.02231413199842791
CLT,IIDStdGaussian,MC,10,-153.43909478276865,50153.0,0.018241560999740614
CLT,IIDStdGaussian,MC,11,-314.9606310598046,31759.0,0.009945706666864377
CLT,IIDStdGaussian,MC,12,-621.7067831002599,23968.0,0.008426196001285765
CLT,IIDStdGaussian,MC,13,-1201.409693440875,17356.0,0.010248441666287059
CLT,IIDStdGaussian,MC,14,-2271.817824980432,12916.0,0.008095908667504167
CLT,IIDStdGaussian,MC,15,-4248.295609201817,10576.0,0.00454361433488278
CLT,IIDStdGaussian,MC,16,-7832.188673990614,7675.0,0.004479176333309927
CLT,IIDStdGaussian,MC,17,-14288.370696960068,6603.0,0.009564001667361785
CLT,IIDStdGaussian,MC,18,-25824.04320488422,5768.0,0.004360549668490421
CLT,IIDStdGaussian,MC,19,-46386.537328776576,4782.0,0.003992625666190482
CLT,IIDStdGaussian,MC,20,-82683.99581770788,4456.0,0.004707382333435817
CLT,IIDStdGaussian,MC,21,-146018.34782086557,4681.0,0.010752282001097532
CLT,IIDStdGaussian,MC,22,-257283.76229154097,5237.0,0.006152359666884877
CLT,IIDStdGaussian,MC,23,-448922.67640651175,5555.0,0.006611740333028138
CLT,IIDStdGaussian,MC,24,-782182.4428606782,6669.0,0.006667801665268295
CLT,IIDStdGaussian,MC,25,-1355003.5212289204,7968.0,0.010299339667350674
CLT,IIDStdGaussian,MC,26,-2334703.1418368546,10362.0,0.008250216333787344
CLT,IIDStdGaussian,MC,27,-4002838.744964587,12000.0,0.01005305299865237
CLT,IIDStdGaussian,MC,28,-6826064.635734881,13664.0,0.013095875667204382
CLT,IIDStdGaussian,MC,29,-11560960.042045722,17435.0,0.013062363000547824
CLT,IIDStdGaussian,MC,30,-19425884.235679626,22302.0,0.017538435333941987
CLT,IIDStdGaussian,MC,31,-32524399.49852444,25395.0,0.02071623033164845
CLT,IIDStdGaussian,MC,32,-53990167.22321877,33153.0,0.037035266332774576
CLT,IIDStdGaussian,MC,33,-88987014.45133142,38382.0,0.03775022733316291
CLT,IIDStdGaussian,MC,34,-145706783.76354235,49033.0,0.04809213766687511
CLT,IIDStdGaussian,MC,35,-236185178.43606034,62559.0,0.06206160199993368
CLT,IIDStdGaussian,MC,36,-377250852.9354065,81403.0,0.08857343666871505
CLT,IIDStdGaussian,MC,37,-594513783.1505523,104550.0,0.11026222433307946
CLT,IIDStdGaussian,MC,38,-924002953.4109817,146889.0,0.14344637133278107
CLT,IIDStdGaussian,MC,39,-1401876107.6292658,193482.0,0.18403818599957353
CLT,IIDStdGaussian,MC,40,-2066657166.1378918,268368.0,0.25371440900077386
MeanMC_g,IIDStdUniform,MC,1,1.3774049280972196,11024.0,0.004473619667502741
MeanMC_g,IIDStdUniform,MC,2,1.8037090625415846,11024.0,0.006257728331547696
MeanMC_g,IIDStdUniform,MC,3,2.1676065759366807,11024.0,0.00938797700049084
MeanMC_g,IIDStdUniform,MC,4,2.156712089565429,11024.0,0.008412129333009943
MeanMC_g,IIDStdUniform,MC,5,1.1311465926651916,11024.0,0.008563731666072272
MeanMC_g,IIDStdUniform,MC,6,-2.3042074903330794,11024.0,0.014675429001120696
MeanMC_g,IIDStdUniform,MC,7,-11.012875928628128,11024.0,0.011569987999488754
MeanMC_g,IIDStdUniform,MC,8,-30.456806272266387,11024.0,0.015148604667047039
MeanMC_g,IIDStdUniform,MC,9,-71.26682426568821,11024.0,0.01560018499973618
MeanMC_g,IIDStdUniform,MC,10,-152.08043673797363,11024.0,0.020041580333781894
MeanMC_g,IIDStdUniform,MC,11,-311.91403677332295,11024.0,0.01789175566591439
MeanMC_g,IIDStdUniform,MC,12,-618.5884668666348,11024.0,0.02102036100041005
MeanMC_g,IIDStdUniform,MC,13,-1197.1477277373913,11024.0,0.02088154133283145
MeanMC_g,IIDStdUniform,MC,14,-2274.808053396828,11024.0,0.021445063333279297
MeanMC_g,IIDStdUniform,MC,15,-4247.234156914661,11024.0,0.024666936000964295
MeanMC_g,IIDStdUniform,MC,16,-7844.839157205587,11024.0,0.025667992000914335
MeanMC_g,IIDStdUniform,MC,17,-14303.701860688894,11024.0,0.02919937400050306
MeanMC_g,IIDStdUniform,MC,18,-25831.445866515354,11024.0,0.032337386665555336
MeanMC_g,IIDStdUniform,MC,19,-46507.313403532426,11024.0,0.03235518199896129
MeanMC_g,IIDStdUniform,MC,20,-82767.94991622078,11024.0,0.032465405000645355
MeanMC_g,IIDStdUniform,MC,21,-146621.94480035524,11024.0,0.03328354499899433
MeanMC_g,IIDStdUniform,MC,22,-258051.87090343292,11024.0,0.03384363199923731
MeanMC_g,IIDStdUniform,MC,23,-453189.46582191315,11024.0,0.040132407667745916
MeanMC_g,IIDStdUniform,MC,24,-788540.0251971603,11024.0,0.03957605799951125
MeanMC_g,IIDStdUniform,MC,25,-1365828.9891110908,11024.0,0.043430657666855645
MeanMC_g,IIDStdUniform,MC,26,-2346691.3329373305,11024.0,0.043857011666356506
MeanMC_g,IIDStdUniform,MC,27,-4019988.2688570204,11024.0,0.04682643733394798
MeanMC_g,IIDStdUniform,MC,28,-6857121.047115567,11024.0,0.04649595366572612
MeanMC_g,IIDStdUniform,MC,29,-11636577.869243572,11024.0,0.05197669466603353
MeanMC_g,IIDStdUniform,MC,30,-19569069.27910398,11024.0,0.050247835000239625
MeanMC_g,IIDStdUniform,MC,31,-32813197.040972218,11024.0,0.05390082166680562
MeanMC_g,IIDStdUniform,MC,32,-54631135.62403462,11024.0,0.0593088196668153
MeanMC_g,IIDStdUniform,MC,33,-90320958.8134449,11024.0,0.0954098429986819
MeanMC_g,IIDStdUniform,MC,34,-147872652.90739667,11024.0,0.10929842399855261
MeanMC_g,IIDStdUniform,MC,35,-240003441.5021198,11024.0,0.08933902366576756
MeanMC_g,IIDStdUniform,MC,36,-384654187.4725597,11024.0,0.0555031420008163
MeanMC_g,IIDStdUniform,MC,37,-609291091.6921383,11024.0,0.0741580166662364
MeanMC_g,IIDStdUniform,MC,38,-949471112.5108057,11024.0,0.0643672553342185
MeanMC_g,IIDStdUniform,MC,39,-1447927875.3813756,11024.0,0.06343854766722264
MeanMC_g,IIDStdUniform,MC,40,-2145183947.0258617,11024.0,0.05658666066665319
MeanMC_g,IIDStdGaussian,MC,1,1.380303169433324,11024.0,0.0029606616675058226
MeanMC_g,IIDStdGaussian,MC,2,1.8266795755474405,11024.0,0.0038248226652891995
MeanMC_g,IIDStdGaussian,MC,3,2.186979652638658,11024.0,0.004193629333409869
MeanMC_g,IIDStdGaussian,MC,4,2.198817736753892,11024.0,0.00450162166695615
MeanMC_g,IIDStdGaussian,MC,5,1.1824111910519917,11024.0,0.005409592666789346
MeanMC_g,IIDStdGaussian,MC,6,-2.240952520353493,11024.0,0.006519561667422143
MeanMC_g,IIDStdGaussian,MC,7,-11.083556133264596,11024.0,0.0069692836671796
MeanMC_g,IIDStdGaussian,MC,8,-30.695370901183654,11024.0,0.006958709667136039
MeanMC_g,IIDStdGaussian,MC,9,-71.23786582994336,11024.0,0.00788855933448455
MeanMC_g,IIDStdGaussian,MC,10,-152.882029178379,11024.0,0.006809181000183647
MeanMC_g,IIDStdGaussian,MC,11,-314.3008691992823,11024.0,0.008619874000335889
MeanMC_g,IIDStdGaussian,MC,12,-619.9307365132064,11024.0,0.008339449999766657
MeanMC_g,IIDStdGaussian,MC,13,-1201.853813205243,11024.0,0.009485236332693603
MeanMC_g,IIDStdGaussian,MC,14,-2276.1208897340557,11024.0,0.007485254666486678
MeanMC_g,IIDStdGaussian,MC,15,-4243.99353815144,11024.0,0.008893119667239565
MeanMC_g,IIDStdGaussian,MC,16,-7823.0881782860715,11024.0,0.008884912000212353
MeanMC_g,IIDStdGaussian,MC,17,-14288.397504602513,11024.0,0.009758043001056649
MeanMC_g,IIDStdGaussian,MC,18,-25830.548231854336,11024.0,0.009783687331946567
MeanMC_g,IIDStdGaussian,MC,19,-46352.56087610894,11024.0,0.010023519001454892
MeanMC_g,IIDStdGaussian,MC,20,-82648.93050498335,11024.0,0.009180396667943569
MeanMC_g,IIDStdGaussian,MC,21,-146069.04768525908,11024.0,0.009060406333446736
MeanMC_g,IIDStdGaussian,MC,22,-257637.12945540083,11024.0,0.008985071666150665
MeanMC_g,IIDStdGaussian,MC,23,-449850.84589875006,11024.0,0.009495946000242839
MeanMC_g,IIDStdGaussian,MC,24,-783755.8669355226,11024.0,0.010291706666369768
MeanMC_g,IIDStdGaussian,MC,25,-1356710.0211326343,11024.0,0.010006698001234327
MeanMC_g,IIDStdGaussian,MC,26,-2335547.601563609,11024.0,0.012186476666101953
MeanMC_g,IIDStdGaussian,MC,27,-4003479.437994315,11024.0,0.00945269999889812
MeanMC_g,IIDStdGaussian,MC,28,-6827760.007439516,11024.0,0.009702881000218136
MeanMC_g,IIDStdGaussian,MC,29,-11568219.982443994,11024.0,0.010797055999622293
MeanMC_g,IIDStdGaussian,MC,30,-19495499.78584057,11024.0,0.01201138799903371
MeanMC_g,IIDStdGaussian,MC,31,-32611627.11574103,11024.0,0.01050419333356937
MeanMC_g,IIDStdGaussian,MC,32,-54192065.742842235,11024.0,0.012086374333496982
MeanMC_g,IIDStdGaussian,MC,33,-89387770.52181502,11024.0,0.012291217666643206
MeanMC_g,IIDStdGaussian,MC,34,-146444054.98679408,11024.0,0.013167937999241985
MeanMC_g,IIDStdGaussian,MC,35,-237279820.7635852,11024.0,0.01203429466598512
MeanMC_g,IIDStdGaussian,MC,36,-379901802.61468774,11024.0,0.01384296900020369
MeanMC_g,IIDStdGaussian,MC,37,-601225843.5585344,11024.0,0.012608068998815725
MeanMC_g,IIDStdGaussian,MC,38,-934842047.692936,11024.0,0.013063341666565975
MeanMC_g,IIDStdGaussian,MC,39,-1424827511.2078836,11024.0,0.013273642000664646
MeanMC_g,IIDStdGaussian,MC,40,-2096897920.2347012,11024.0,0.013226372666395037
CLTRep,Lattice,QMC,1,1.3805064064530683,4096.0,0.0048666546669361805
CLTRep,Lattice,QMC,2,1.8088491809612453,4096.0,0.0060924706667719875
CLTRep,Lattice,QMC,3,2.165905233309978,4096.0,0.007630786001148711
CLTRep,Lattice,QMC,4,2.1616406468728675,4096.0,0.006948943334767439
CLTRep,Lattice,QMC,5,1.1364514295055304,16384.0,0.02106779733367148
CLTRep,Lattice,QMC,6,-2.3278880769813868,16384.0,0.020455141999264015
CLTRep,Lattice,QMC,7,-11.049561835377682,8192.0,0.013467088666705726
CLTRep,Lattice,QMC,8,-30.585137051063683,8192.0,0.014500160666405767
CLTRep,Lattice,QMC,9,-71.97882692705996,4096.0,0.00798222899902612
CLTRep,Lattice,QMC,10,-154.05937419706055,8192.0,0.01608929966702514
CLTRep,Lattice,QMC,11,-314.68375064251427,4096.0,0.008292044666935302
CLTRep,Lattice,QMC,12,-628.0567555486463,4096.0,0.010744661000596048
CLTRep,Lattice,QMC,13,-1200.5406717304882,4096.0,0.010112011334664809
CLTRep,Lattice,QMC,14,-2284.2047905403538,4096.0,0.01044347333421077
CLTRep,Lattice,QMC,15,-4267.648928215707,4096.0,0.009703897999618979
CLTRep,Lattice,QMC,16,-7856.536822758194,4096.0,0.011787417000353647
CLTRep,Lattice,QMC,17,-14352.847572967077,4096.0,0.011791997334512416
CLTRep,Lattice,QMC,18,-25976.60672704403,4096.0,0.010750016334592752
CLTRep,Lattice,QMC,19,-46503.01915371142,4096.0,0.012898683333332883
CLTRep,Lattice,QMC,20,-82867.5831777371,4096.0,0.011709159001232669
CLTRep,Lattice,QMC,21,-146317.6099860535,4096.0,0.014386397999866555
CLTRep,Lattice,QMC,22,-257514.29898800203,4096.0,0.014111204001286145
CLTRep,Lattice,QMC,23,-448866.9977121709,4096.0,0.014225050666330693
CLTRep,Lattice,QMC,24,-784115.2508314004,4096.0,0.014330975334208537
CLTRep,Lattice,QMC,25,-1356585.6020376664,4096.0,0.01524414499848111
CLTRep,Lattice,QMC,26,-2338061.1790278754,4096.0,0.01587046966718238
CLTRep,Lattice,QMC,27,-3995289.8519740123,4096.0,0.015209254999111485
CLTRep,Lattice,QMC,28,-6797518.704992694,4096.0,0.016380440999152295
CLTRep,Lattice,QMC,29,-11541766.143827373,4096.0,0.016843553000702133
CLTRep,Lattice,QMC,30,-19473921.650648203,4096.0,0.018847067000024254
CLTRep,Lattice,QMC,31,-32479017.0173624,4096.0,0.017120635333412793
CLTRep,Lattice,QMC,32,-53964679.60995263,4096.0,0.01758671733356702
CLTRep,Lattice,QMC,33,-89011057.79853468,4096.0,0.01848625533481633
CLTRep,Lattice,QMC,34,-145801376.983918,4096.0,0.021624031333582632
CLTRep,Lattice,QMC,35,-236103116.77708387,4096.0,0.022919167998528184
CLTRep,Lattice,QMC,36,-377931870.25318974,4096.0,0.02340621866702956
CLTRep,Lattice,QMC,37,-596720176.0107737,4096.0,0.02474178066646952
CLTRep,Lattice,QMC,38,-925106025.0139675,4096.0,0.024492534999202082
CLTRep,Lattice,QMC,39,-1403722857.0183058,8192.0,0.04681300899877291
CLTRep,Lattice,QMC,40,-2072145854.1339598,4096.0,0.026290508000480866
CLTRep,Sobol,QMC,1,1.380633670930995,4096.0,0.005860665334087874
CLTRep,Sobol,QMC,2,1.8105534783034594,4096.0,0.007979838333994849
CLTRep,Sobol,QMC,3,2.1767705350457582,4096.0,0.008735918334423332
CLTRep,Sobol,QMC,4,2.1709005644166224,4096.0,0.006930809997963176
CLTRep,Sobol,QMC,5,1.1399899904757882,16384.0,0.024055627332321212
CLTRep,Sobol,QMC,6,-2.321802095335243,16384.0,0.025121553665182244
CLTRep,Sobol,QMC,7,-11.018102106798912,16384.0,0.02594878500046131
CLTRep,Sobol,QMC,8,-30.619109218161608,8192.0,0.016358206000101443
CLTRep,Sobol,QMC,9,-71.5970431627311,8192.0,0.01726501866748246
CLTRep,Sobol,QMC,10,-153.80702045267552,4096.0,0.009055771668499801
CLTRep,Sobol,QMC,11,-315.0379671066012,4096.0,0.00970192799892781
CLTRep,Sobol,QMC,12,-621.7591851912798,4096.0,0.012211045665026177
CLTRep,Sobol,QMC,13,-1209.2927437867638,4096.0,0.009950256999824584
CLTRep,Sobol,QMC,14,-2279.972501078493,4096.0,0.012449522667642062
CLTRep,Sobol,QMC,15,-4256.148121851509,4096.0,0.011856931333265189
