dimension,CLT_IIDStdUniform,CLT_IIDStdGaussian,CLTRep_Lattice,CLTRep_Sobol,MeanMC_g_IIDStdUniform,MeanMC_g_IIDStdGaussian,CubLattice_g,CubSobol_g
1.0,12942.0,11943.0,256.0,256.0,,,1024.0,1024.0
2.0,36504.0,36581.0,256.0,256.0,,,1024.0,1024.0
3.0,98628.0,100036.0,256.0,256.0,,,2048.0,2048.0
4.0,332491.0,323116.0,256.0,512.0,,,4096.0,2048.0
5.0,3269997.0,3532034.0,1024.0,1024.0,,,8192.0,8192.0
6.0,3570056.0,3400719.0,2048.0,2048.0,,,8192.0,8192.0
7.0,465234.0,422373.0,512.0,1024.0,,,4096.0,4096.0
8.0,164387.0,177984.0,512.0,1024.0,,,2048.0,2048.0
9.0,75884.0,90348.0,512.0,512.0,,,2048.0,2048.0
10.0,46050.0,50153.0,512.0,512.0,,,1024.0,1024.0
11.0,30293.0,31759.0,512.0,512.0,,,1024.0,1024.0
12.0,22623.0,23968.0,256.0,512.0,,,1024.0,1024.0
13.0,15370.0,17356.0,512.0,512.0,,,1024.0,1024.0
14.0,12117.0,12916.0,256.0,512.0,,,1024.0,1024.0
15.0,9183.0,10576.0,256.0,512.0,,,1024.0,1024.0
16.0,7885.0,7675.0,256.0,512.0,,,1024.0,1024.0
17.0,6631.0,6603.0,512.0,512.0,,,1024.0,1024.0
18.0,5042.0,5768.0,512.0,512.0,,,1024.0,1024.0
19.0,5159.0,4782.0,256.0,256.0,,,1024.0,1024.0
20.0,4749.0,4456.0,512.0,512.0,,,1024.0,1024.0
21.0,4865.0,4681.0,256.0,256.0,,,1024.0,1024.0
22.0,5058.0,5237.0,256.0,512.0,,,1024.0,1024.0
23.0,6015.0,5555.0,256.0,256.0,,,1024.0,1024.0
24.0,6355.0,6669.0,256.0,512.0,,,1024.0,1024.0
25.0,8154.0,7968.0,512.0,256.0,,,1024.0,1024.0
26.0,9626.0,10362.0,256.0,256.0,,,1024.0,1024.0
27.0,12157.0,12000.0,256.0,256.0,,,1024.0,1024.0
28.0,13775.0,13664.0,256.0,256.0,,,1024.0,1024.0
29.0,16034.0,17435.0,256.0,512.0,,,1024.0,1024.0
30.0,20293.0,22302.0,256.0,256.0,,,1024.0,1024.0
31.0,26264.0,25395.0,256.0,256.0,,,1024.0,1024.0
32.0,29019.0,33153.0,256.0,256.0,,,1024.0,1024.0
33.0,36869.0,38382.0,256.0,256.0,,,1024.0,1024.0
34.0,47410.0,49033.0,512.0,256.0,,,1024.0,1024.0
35.0,59873.0,62559.0,256.0,512.0,,,1024.0,1024.0
36.0,71354.0,81403.0,256.0,256.0,,,1024.0,2048.0
37.0,99758.0,104550.0,256.0,256.0,,,2048.0,2048.0
38.0,139180.0,146889.0,512.0,256.0,,,2048.0,2048.0
39.0,193484.0,193482.0,512.0,512.0,,,4096.0,4096.0
40.0,285477.0,268368.0,1024.0,512.0,,,4096.0,4096.0
