dimension,CLT_IIDStdUniform,CLT_IIDStdGaussian,CLTRep_Lattice,CLTRep_Sobol,MeanMC_g_IIDStdUniform,MeanMC_g_IIDStdGaussian,CubLattice_g,CubSobol_g
1.0,1.3801742110340693,1.3791118299289187,1.3805064064530683,1.380633670930995,,,1.3803225446435199,1.3803919323990481
2.0,1.813477167849391,1.8106166264583,1.8088491809612453,1.8105534783034594,,,1.808038421708659,1.8077127588924224
3.0,2.181765951635218,2.1737775458074484,2.165905233309978,2.1767705350457582,,,2.1681934703695194,2.1675745899239933
4.0,2.183509691791076,2.1694406211495503,2.1616406468728675,2.1677435072803437,,,2.166454399409699,2.1646169132707724
5.0,1.1345141709829447,1.1351483328585033,1.1364514295055304,1.1399899904757882,,,1.1357356099562161,1.1366277882824647
6.0,-2.3269633598670905,-2.3251694968098873,-2.326063768004569,-2.331840510387337,,,-2.322985685242372,-2.321494616228045
7.0,-11.040127568172144,-11.043751835588287,-11.049561835377682,-11.018102106798912,,,-11.069103027866355,-11.028674229294575
8.0,-30.37113905894238,-30.525936854496482,-30.585137051063683,-30.56811328274785,,,-30.659189926075147,-30.57906436361399
9.0,-71.02049673997344,-71.54231765415355,-71.78210733250683,-71.5970431627311,,,-71.84484734970027,-71.46437109700977
10.0,-153.40767503060871,-153.43909478276865,-154.05937419706055,-154.38133235096575,,,-154.6894231951472,-152.7569223091442
11.0,-313.505678912492,-314.9606310598046,-315.73138006914445,-315.639820567249,,,-316.3478250854193,-313.79025849324256
12.0,-619.5583727443044,-621.7067831002599,-628.0567555486463,-623.5022519735526,,,-625.8276016957693,-621.3774190860654
13.0,-1195.3105606348338,-1201.409693440875,-1204.712454534458,-1209.1374603756544,,,-1208.3921347027706,-1199.9607170406039
14.0,-2273.9197796478234,-2271.817824980432,-2284.2047905403538,-2278.2909749160162,,,-2287.6928826116578,-2276.4190308726384
15.0,-4241.810750690933,-4248.295609201817,-4267.648928215707,-4260.433871344319,,,-4263.302762609201,-4250.11318100441
16.0,-7830.268808297003,-7832.188673990614,-7856.536822758194,-7859.59645220557,,,-7860.137867855764,-7840.9924294064
17.0,-14276.613840612938,-14288.370696960068,-14336.24373936571,-14298.48779266721,,,-14339.17314177337,-14283.073237842264
18.0,-25840.376011029715,-25824.04320488422,-25904.56148222818,-25940.846153481503,,,-25922.212532607926,-25846.747977232502
19.0,-46485.78960020313,-46386.537328776576,-46503.01915371142,-46687.5376317219,,,-46500.07486104951,-46326.12500443711
20.0,-82773.82686619725,-82683.99581770788,-82803.95070527396,-82792.22918372453,,,-82832.0990349493,-82436.55367095616
21.0,-146343.66631183392,-146018.34782086557,-146317.6099860535,-146583.8043175562,,,-146446.11984509035,-145824.22792711397
22.0,-257434.3157454432,-257283.76229154097,-257514.29898800203,-257546.52497782084,,,-257435.28540927035,-256732.7181899248
23.0,-453722.0057510554,-448922.67640651175,-448866.9977121709,-451744.43409696687,,,-450163.2706150226,-449128.51640474465
24.0,-788196.9487092103,-782182.4428606782,-784115.2508314004,-785217.9999965983,,,-783412.6059525769,-780714.613375385
25.0,-1364809.5230497909,-1355003.5212289204,-1357617.0391216385,-1357019.0869247552,,,-1355806.2977014761,-1351256.7652563327
26.0,-2353166.683443366,-2334703.1418368546,-2338061.1790278754,-2333715.050806254,,,-2334183.225114784,-2323928.1881875787
27.0,-4019949.8059863076,-4002838.744964587,-3995289.8519740123,-3995106.5011676946,,,-3992007.1516365106,-3984915.066436723
28.0,-6861511.2219941905,-6826064.635734881,-6797518.704992694,-6791091.500569116,,,-6803155.247631642,-6784822.982455413
29.0,-11614133.840242079,-11560960.042045722,-11541766.143827373,-11535477.728461409,,,-11511443.356958712,-11488944.98158733
30.0,-19534460.104434665,-19425884.235679626,-19473921.650648203,-19395774.015238293,,,-19364184.830280475,-19359432.761833385
31.0,-32681421.32545061,-32524399.49852444,-32479017.0173624,-32512571.19744575,,,-32391012.475102168,-32390128.24876071
32.0,-54385043.233037986,-53990167.22321877,-53964679.60995263,-53890392.25864897,,,-53818767.273635566,-53900273.40136521
33.0,-89550503.14105429,-88987014.45133142,-89011057.79853468,-89009612.62683876,,,-88802412.38134104,-88957294.91243419
34.0,-146233292.63024554,-145706783.76354235,-145765386.833027,-145917335.2683405,,,-145179125.744991,-145499792.43806875
35.0,-236651128.85279286,-236185178.43606034,-236103116.77708387,-235484640.42211476,,,-234869230.67538297,-235241862.97543216
36.0,-378061839.8170951,-377250852.9354065,-377931870.25318974,-377680076.46905,,,-375552860.6079934,-376720799.05592424
37.0,-596541407.8748199,-594513783.1505523,-596720176.0107737,-598911090.3348166,,,-592981944.5380831,-594464371.9169642
38.0,-927029862.589908,-924002953.4109817,-925401368.2766005,-927694371.072823,,,-918507597.4263221,-921698284.4696337
39.0,-1408611624.6835167,-1401876107.6292658,-1403722857.0183058,-1404652351.2024567,,,-1399350510.2355268,-1405659649.3592129
40.0,-2065967627.4006891,-2066657166.1378918,-2072439435.2359688,-2069910073.0674772,,,-2058313282.378854,-2072731792.4044974
