n,d,a,p2,n_candidates,exact
1,1,1,3.289868133696e+00,1,1
1,2,1,6.818143251398e+00,1,1
1,3,1,9.675994401115e+00,1,1
1,4,1,1.187115776210e+01,1,1
1,5,1,1.356493423271e+01,1,1
1,6,1,1.489595403831e+01,1,1
1,7,1,1.596321103107e+01,1,1
1,8,1,1.683519114695e+01,1,1
1,9,1,1.755957913476e+01,1,1
1,10,1,1.817016481447e+01,1,1
1,11,1,1.869138228836e+01,1,1
1,12,1,1.914125764321e+01,1,1
1,13,1,1.953334096684e+01,1,1
1,14,1,1.987799394707e+01,1,1
1,15,1,2.018326437810e+01,1,1
1,16,1,2.045549151265e+01,1,1
1,17,1,2.069973281999e+01,1,1
1,18,1,2.092007004071e+01,1,1
1,19,1,2.111983220114e+01,1,1
1,20,1,2.130176052884e+01,1,1
1,21,1,2.146813207372e+01,1,1
1,22,1,2.162085354424e+01,1,1
1,23,1,2.176153336510e+01,1,1
1,24,1,2.189153760692e+01,1,1
1,25,1,2.201203383109e+01,1,1
1,26,1,2.212402577901e+01,1,1
1,27,1,2.222838105409e+01,1,1
1,28,1,2.232585338907e+01,1,1
1,29,1,2.241710069199e+01,1,1
1,30,1,2.250269977349e+01,1,1
1,31,1,2.258315844471e+01,1,1
1,32,1,2.265892551645e+01,1,1
1,33,1,2.273039911161e+01,1,1
1,34,1,2.279793361320e+01,1,1
1,35,1,2.286184550172e+01,1,1
1,36,1,2.292241828346e+01,1,1
1,37,1,2.297990667030e+01,1,1
1,38,1,2.303454014039e+01,1,1
1,39,1,2.308652598373e+01,1,1
1,40,1,2.313605191765e+01,1,1
1,41,1,2.318328834126e+01,1,1
1,42,1,2.322839028552e+01,1,1
1,43,1,2.327149910604e+01,1,1
1,44,1,2.331274395700e+01,1,1
1,45,1,2.335224307877e+01,1,1
1,46,1,2.339010492588e+01,1,1
1,47,1,2.342642915810e+01,1,1
1,48,1,2.346130751353e+01,1,1
1,49,1,2.349482457979e+01,1,1
1,50,1,2.352705847693e+01,1,1
1,51,1,2.355808146351e+01,1,1
1,52,1,2.358796047594e+01,1,1
1,53,1,2.361675760932e+01,1,1
1,54,1,2.364453054704e+01,1,1
1,55,1,2.367133294563e+01,1,1
1,56,1,2.369721477983e+01,1,1
1,57,1,2.372222265299e+01,1,1
1,58,1,2.374640007645e+01,1,1
1,59,1,2.376978772168e+01,1,1
1,60,1,2.379242364815e+01,1,1
1,61,1,2.381434350962e+01,1,1
1,62,1,2.383558074114e+01,1,1
1,63,1,2.385616672896e+01,1,1
1,64,1,2.387613096501e+01,1,1
1,65,1,2.389550118762e+01,1,1
1,66,1,2.391430350994e+01,1,1
1,67,1,2.393256253716e+01,1,1
1,68,1,2.395030147379e+01,1,1
1,69,1,2.396754222190e+01,1,1
1,70,1,2.398430547119e+01,1,1
1,71,1,2.400061078173e+01,1,1
1,72,1,2.401647665996e+01,1,1
1,73,1,2.403192062869e+01,1,1
1,74,1,2.404695929158e+01,1,1
1,75,1,2.406160839260e+01,1,1
1,76,1,2.407588287093e+01,1,1
1,77,1,2.408979691174e+01,1,1
1,78,1,2.410336399316e+01,1,1
1,79,1,2.411659692975e+01,1,1
1,80,1,2.412950791285e+01,1,1
1,81,1,2.414210854802e+01,1,1
1,82,1,2.415440988974e+01,1,1
1,83,1,2.416642247378e+01,1,1
1,84,1,2.417815634727e+01,1,1
1,85,1,2.418962109665e+01,1,1
1,86,1,2.420082587379e+01,1,1
1,87,1,2.421177942036e+01,1,1
1,88,1,2.422249009052e+01,1,1
1,89,1,2.423296587216e+01,1,1
1,90,1,2.424321440677e+01,1,1
1,91,1,2.425324300799e+01,1,1
1,92,1,2.426305867900e+01,1,1
1,93,1,2.427266812885e+01,1,1
1,94,1,2.428207778769e+01,1,1
1,95,1,2.429129382116e+01,1,1
1,96,1,2.430032214381e+01,1,1
1,97,1,2.430916843179e+01,1,1
1,98,1,2.431783813470e+01,1,1
1,99,1,2.432633648680e+01,1,1
1,100,1,2.433466851753e+01,1,1
1,101,1,2.434283906146e+01,1,1
1,102,1,2.435085276760e+01,1,1
1,103,1,2.435871410822e+01,1,1
1,104,1,2.436642738720e+01,1,1
1,105,1,2.437399674785e+01,1,1
1,106,1,2.438142618033e+01,1,1
1,107,1,2.438871952867e+01,1,1
1,108,1,2.439588049741e+01,1,1
1,109,1,2.440291265783e+01,1,1
1,110,1,2.440981945393e+01,1,1
1,111,1,2.441660420804e+01,1,1
1,112,1,2.442327012610e+01,1,1
1,113,1,2.442982030280e+01,1,1
1,114,1,2.443625772627e+01,1,1
1,115,1,2.444258528270e+01,1,1
1,116,1,2.444880576060e+01,1,1
1,117,1,2.445492185491e+01,1,1
1,118,1,2.446093617093e+01,1,1
1,119,1,2.446685122796e+01,1,1
1,120,1,2.447266946284e+01,1,1
1,121,1,2.447839323332e+01,1,1
1,122,1,2.448402482120e+01,1,1
1,123,1,2.448956643540e+01,1,1
1,124,1,2.449502021481e+01,1,1
1,125,1,2.450038823111e+01,1,1
1,126,1,2.450567249129e+01,1,1
1,127,1,2.451087494024e+01,1,1
1,128,1,2.451599746310e+01,1,1
1,129,1,2.452104188753e+01,1,1
1,130,1,2.452600998590e+01,1,1
1,131,1,2.453090347735e+01,1,1
1,132,1,2.453572402980e+01,1,1
1,133,1,2.454047326179e+01,1,1
1,134,1,2.454515274437e+01,1,1
1,135,1,2.454976400275e+01,1,1
1,136,1,2.455430851802e+01,1,1
1,137,1,2.455878772870e+01,1,1
1,138,1,2.456320303227e+01,1,1
1,139,1,2.456755578664e+01,1,1
1,140,1,2.457184731149e+01,1,1
1,141,1,2.457607888965e+01,1,1
1,142,1,2.458025176840e+01,1,1
1,143,1,2.458436716060e+01,1,1
1,144,1,2.458842624597e+01,1,1
1,145,1,2.459243017216e+01,1,1
1,146,1,2.459638005583e+01,1,1
1,147,1,2.460027698374e+01,1,1
1,148,1,2.460412201366e+01,1,1
1,149,1,2.460791617542e+01,1,1
1,150,1,2.461166047175e+01,1,1
1,151,1,2.461535587921e+01,1,1
1,152,1,2.461900334905e+01,1,1
1,153,1,2.462260380796e+01,1,1
1,154,1,2.462615815894e+01,1,1
1,155,1,2.462966728198e+01,1,1
1,156,1,2.463313203484e+01,1,1
1,157,1,2.463655325373e+01,1,1
1,158,1,2.463993175395e+01,1,1
1,159,1,2.464326833061e+01,1,1
1,160,1,2.464656375917e+01,1,1
1,161,1,2.464981879613e+01,1,1
1,162,1,2.465303417951e+01,1,1
1,163,1,2.465621062950e+01,1,1
1,164,1,2.465934884892e+01,1,1
1,165,1,2.466244952382e+01,1,1
1,166,1,2.466551332390e+01,1,1
1,167,1,2.466854090303e+01,1,1
1,168,1,2.467153289973e+01,1,1
1,169,1,2.467448993758e+01,1,1
1,170,1,2.467741262569e+01,1,1
1,171,1,2.468030155909e+01,1,1
1,172,1,2.468315731915e+01,1,1
1,173,1,2.468598047398e+01,1,1
1,174,1,2.468877157877e+01,1,1
1,175,1,2.469153117619e+01,1,1
1,176,1,2.469425979673e+01,1,1
1,177,1,2.469695795902e+01,1,1
1,178,1,2.469962617020e+01,1,1
1,179,1,2.470226492621e+01,1,1
1,180,1,2.470487471208e+01,1,1
1,181,1,2.470745600228e+01,1,1
1,182,1,2.471000926096e+01,1,1
1,183,1,2.471253494223e+01,1,1
1,184,1,2.471503349047e+01,1,1
1,185,1,2.471750534056e+01,1,1
1,186,1,2.471995091812e+01,1,1
1,187,1,2.472237063979e+01,1,1
1,188,1,2.472476491343e+01,1,1
1,189,1,2.472713413837e+01,1,1
1,190,1,2.472947870565e+01,1,1
1,191,1,2.473179899819e+01,1,1
1,192,1,2.473409539103e+01,1,1
1,193,1,2.473636825152e+01,1,1
1,194,1,2.473861793952e+01,1,1
1,195,1,2.474084480761e+01,1,1
1,196,1,2.474304920122e+01,1,1
1,197,1,2.474523145888e+01,1,1
1,198,1,2.474739191231e+01,1,1
1,199,1,2.474953088669e+01,1,1
1,200,1,2.475164870072e+01,1,1
1,201,1,2.475374566684e+01,1,1
1,202,1,2.475582209139e+01,1,1
1,203,1,2.475787827471e+01,1,1
1,204,1,2.475991451132e+01,1,1
1,205,1,2.476193109007e+01,1,1
1,206,1,2.476392829424e+01,1,1
1,207,1,2.476590640170e+01,1,1
1,208,1,2.476786568504e+01,1,1
1,209,1,2.476980641168e+01,1,1
1,210,1,2.477172884399e+01,1,1
1,211,1,2.477363323943e+01,1,1
1,212,1,2.477551985065e+01,1,1
1,213,1,2.477738892560e+01,1,1
1,214,1,2.477924070764e+01,1,1
1,215,1,2.478107543566e+01,1,1
1,216,1,2.478289334415e+01,1,1
1,217,1,2.478469466333e+01,1,1
1,218,1,2.478647961926e+01,1,1
1,219,1,2.478824843387e+01,1,1
1,220,1,2.479000132512e+01,1,1
1,221,1,2.479173850707e+01,1,1
1,222,1,2.479346018994e+01,1,1
1,223,1,2.479516658023e+01,1,1
1,224,1,2.479685788079e+01,1,1
1,225,1,2.479853429087e+01,1,1
1,226,1,2.480019600628e+01,1,1
1,227,1,2.480184321935e+01,1,1
1,228,1,2.480347611913e+01,1,1
1,229,1,2.480509489134e+01,1,1
1,230,1,2.480669971855e+01,1,1
1,231,1,2.480829078017e+01,1,1
1,232,1,2.480986825255e+01,1,1
1,233,1,2.481143230905e+01,1,1
1,234,1,2.481298312008e+01,1,1
1,235,1,2.481452085318e+01,1,1
1,236,1,2.481604567309e+01,1,1
1,237,1,2.481755774177e+01,1,1
1,238,1,2.481905721851e+01,1,1
1,239,1,2.482054425994e+01,1,1
1,240,1,2.482201902011e+01,1,1
1,241,1,2.482348165053e+01,1,1
1,242,1,2.482493230024e+01,1,1
1,243,1,2.482637111583e+01,1,1
1,244,1,2.482779824153e+01,1,1
1,245,1,2.482921381921e+01,1,1
1,246,1,2.483061798848e+01,1,1
1,247,1,2.483201088669e+01,1,1
1,248,1,2.483339264900e+01,1,1
1,249,1,2.483476340843e+01,1,1
1,250,1,2.483612329587e+01,1,1
2,1,1,8.224670334241e-01,1,1
2,2,1,2.719213844454e+00,1,1
2,3,1,4.182839811782e+00,1,1
2,4,1,5.296372971931e+00,1,1
2,5,1,6.152420588926e+00,1,1
2,6,1,6.823872657372e+00,1,1
2,7,1,7.361667347478e+00,1,1
2,8,1,7.800740067583e+00,1,1
2,9,1,8.165307143002e+00,1,1
2,10,1,8.472483143252e+00,1,1
2,11,1,8.734622610489e+00,1,1
2,12,1,8.960829040796e+00,1,1
2,13,1,9.157939420953e+00,1,1
2,14,1,9.331178438766e+00,1,1
2,15,1,9.484601895974e+00,1,1
2,16,1,9.621403188935e+00,1,1
2,17,1,9.744129124651e+00,1,1
2,18,1,9.854834558663e+00,1,1
2,19,1,9.955194995729e+00,1,1
2,20,1,1.004658980786e+01,1,1
2,21,1,1.013016458466e+01,1,1
2,22,1,1.020687844191e+01,1,1
2,23,1,1.027754033754e+01,1,1
2,24,1,1.034283725105e+01,1,1
2,25,1,1.040335626812e+01,1,1
2,26,1,1.045960204976e+01,1,1
2,27,1,1.051201076971e+01,1,1
2,28,1,1.056096132364e+01,1,1
2,29,1,1.060678441186e+01,1,1
2,30,1,1.064976995066e+01,1,1
2,31,1,1.069017315963e+01,1,1
2,32,1,1.072821959227e+01,1,1
2,33,1,1.076410931761e+01,1,1
2,34,1,1.079802041510e+01,1,1
2,35,1,1.083011191051e+01,1,1
2,36,1,1.086052625445e+01,1,1
2,37,1,1.088939142429e+01,1,1
2,38,1,1.091682271453e+01,1,1
2,39,1,1.094292426821e+01,1,1
