"n","Sobol","GHalton","Korobov"
2,3.93211841583252e-05,1.79648399353027e-05,2.03132629394531e-05
4,2.28643417358398e-05,1.36435031890869e-05,2.08139419555664e-05
8,2.25663185119629e-05,1.49130821228027e-05,1.64687633514404e-05
16,3.03030014038086e-05,3.32176685333252e-05,1.99198722839355e-05
32,3.26633453369141e-05,2.77101993560791e-05,2.0986795425415e-05
64,2.30669975280762e-05,3.13818454742432e-05,2.68518924713135e-05
128,3.6168098449707e-05,4.29511070251465e-05,1.74522399902344e-05
256,2.54213809967041e-05,9.00328159332275e-05,1.79469585418701e-05
512,3.18467617034912e-05,0.000158524513244629,1.84834003448486e-05
1024,2.97129154205322e-05,0.00029144287109375,3.37004661560059e-05
2048,3.25679779052734e-05,0.000519925355911255,3.06129455566406e-05
4096,6.5004825592041e-05,0.00107388496398926,3.71396541595459e-05
8192,6.61194324493408e-05,0.00214377045631409,5.23149967193604e-05
16384,0.000108706951141357,0.0040424644947052,8.4155797958374e-05
32768,0.000196182727813721,0.00815255045890808,0.000372326374053955
65536,0.000373715162277222,0.0180598676204681,0.000393813848495483
131072,0.00101349949836731,0.0344066500663757,0.000881725549697876
262144,0.00182082056999207,0.0707219660282135,0.00142406821250916
524288,0.00378263592720032,0.140078157186508,0.00336101651191711
1048576,0.00991354584693909,0.288966470956802,0.00671725869178772
