Stopping Criterion,Distribution,MC/QMC,mean_shift,solution,n_samples,time
CubMCCLT,IIDStdUniform,MC,-0.2,1.803799248973597,434511.0,0.8322952588399252
CubMCCLT,IIDStdUniform,MC,-0.1,1.8022777657042415,368942.0,0.7036269505818685
CubMCCLT,IIDStdUniform,MC,0.0,1.8064191618758259,312838.0,0.5760242938995361
CubMCCLT,IIDStdUniform,MC,0.1,1.80836474872829,264935.0,0.49750463167826336
CubMCCLT,IIDStdUniform,MC,0.2,1.8037569311711958,224636.0,0.42255965868632
CubMCCLT,IIDStdUniform,MC,0.3,1.7979568664795635,191139.0,0.3516691525777181
CubMCCLT,IIDStdUniform,MC,0.4,1.7950551854105499,163307.0,0.30293822288513184
CubMCCLT,IIDStdUniform,MC,0.5,1.7904301021636175,140463.0,0.2536216576894124
CubMCCLT,IIDStdUniform,MC,0.6,1.7880883409520028,122069.0,0.22304670015970865
CubMCCLT,IIDStdUniform,MC,0.7,1.7857681211204663,107698.0,0.19402011235555014
CubMCCLT,IIDStdUniform,MC,0.8,1.7830247730111275,97006.0,0.1779348055521647
CubMCCLT,IIDStdUniform,MC,0.9,1.7810231074296965,89223.0,0.16369430224100748
CubMCCLT,IIDStdUniform,MC,1.0,1.7787270064691156,83695.0,0.14878288904825845
CubMCCLT,IIDStdUniform,MC,1.1,1.7772541460728537,80475.0,0.14802678426106772
CubMCCLT,IIDStdUniform,MC,1.2,1.7762157924246822,79420.0,0.14412299791971842
CubMCCLT,IIDStdUniform,MC,1.3,1.7765740554582026,80384.0,0.15044212341308594
CubMCCLT,IIDStdUniform,MC,1.4,1.778174126734464,83149.0,0.1528169314066569
CubMCCLT,IIDStdUniform,MC,1.5,1.7784392665539286,87631.0,0.1624149481455485
CubMCCLT,IIDStdUniform,MC,1.6,1.7783217745145965,93745.0,0.17601331075032553
CubMCCLT,IIDStdUniform,MC,1.7,1.7771777854228494,100283.0,0.18555466334025064
CubMCCLT,IIDStdUniform,MC,1.8,1.7741296822483072,107425.0,0.2018146514892578
CubMCCLT,IIDStdUniform,MC,1.9,1.7702375580090468,115122.0,0.22690550486246744
CubMCCLT,IIDStdUniform,MC,2.0,1.7694282340183296,123695.0,0.22973410288492838
CubMCCLT,IIDStdUniform,MC,2.1,1.7656722897666475,133335.0,0.24643707275390625
CubMCCLT,IIDStdUniform,MC,2.2,1.7696170348881843,144825.0,0.26807626088460285
CubMCCLT,IIDStdUniform,MC,2.3,1.7674082239848463,158643.0,0.2947832743326823
CubMCCLT,IIDStdUniform,MC,2.4,1.768498297662849,174265.0,0.3221454620361328
CubMCCLT,IIDStdUniform,MC,2.5,1.76186086525196,194618.0,0.36815834045410156
CubMCCLT,IIDStdUniform,MC,2.6,1.7654259897048703,224996.0,0.4291617075602214
CubMCCLT,IIDStdUniform,MC,2.7,1.7680560167062118,263637.0,0.5063629945119222
CubMCCLT,IIDStdUniform,MC,2.8,1.7776577797749507,311717.0,0.6559619108835856
CubMCCLT,IIDStdUniform,MC,2.9,1.7774584330183585,368474.0,0.8225529988606771
CubMCCLT,IIDStdUniform,MC,3.0,1.7817256674273227,428107.0,0.919633150100708
CubMCCLT,IIDStdGaussian,MC,-0.2,1.781576884801573,666201.0,0.5635126431783041
CubMCCLT,IIDStdGaussian,MC,-0.1,1.7802295881713521,506794.0,0.42043113708496094
CubMCCLT,IIDStdGaussian,MC,0.0,1.7808268178274413,388642.0,0.2963121732076009
CubMCCLT,IIDStdGaussian,MC,0.1,1.7852490151735088,301018.0,0.2397462526957194
