Stopping Criterion,Distribution,MC/QMC,dimension,solution,n_samples,time
CubMCCLT,IIDStdUniform,MC,1,1.375970556077777,14033.0,0.0019266605377197266
CubMCCLT,IIDStdUniform,MC,2,1.8078128731362586,38080.0,0.0087587038675944
CubMCCLT,IIDStdUniform,MC,3,2.168652826337383,97388.0,0.028946320215861004
CubMCCLT,IIDStdUniform,MC,4,2.167253248796651,343057.0,0.13424189885457358
CubMCCLT,IIDStdUniform,MC,5,1.131758212265829,3751913.0,2.6979360580444336
CubMCCLT,IIDStdUniform,MC,6,-2.334091179135018,3225106.0,2.9725821812947593
CubMCCLT,IIDStdUniform,MC,7,-11.024918525765676,380466.0,0.29797808329264325
CubMCCLT,IIDStdUniform,MC,8,-30.593234429479967,161727.0,0.14558164278666177
CubMCCLT,IIDStdUniform,MC,9,-71.4956123741675,82117.0,0.07375772794087727
CubMCCLT,IIDStdUniform,MC,10,-154.0025135862596,45952.0,0.04681094487508138
CubMCCLT,IIDStdUniform,MC,11,-315.2778465413741,31264.0,0.03394778569539388
CubMCCLT,IIDStdUniform,MC,12,-623.9473976168179,22360.0,0.026624361673990887
CubMCCLT,IIDStdUniform,MC,13,-1200.886829462925,15810.0,0.019121328989664715
CubMCCLT,IIDStdUniform,MC,14,-2274.1671626374105,11992.0,0.015559673309326172
CubMCCLT,IIDStdUniform,MC,15,-4251.829400444699,9418.0,0.013673067092895508
CubMCCLT,IIDStdUniform,MC,16,-7835.847443537542,7802.0,0.013701677322387695
CubMCCLT,IIDStdUniform,MC,17,-14329.83327491255,6285.0,0.011501948038736979
CubMCCLT,IIDStdUniform,MC,18,-25853.01581218826,4946.0,0.009514252344767252
CubMCCLT,IIDStdUniform,MC,19,-46438.54867965924,4821.0,0.009978691736857096
CubMCCLT,IIDStdUniform,MC,20,-82852.10656252716,4549.0,0.009864012400309244
CubMCCLT,IIDStdUniform,MC,21,-146725.76313673038,4975.0,0.011169354120890299
CubMCCLT,IIDStdUniform,MC,22,-257280.2395074579,5261.0,0.011806249618530273
CubMCCLT,IIDStdUniform,MC,23,-449619.48842148046,5824.0,0.013319253921508789
CubMCCLT,IIDStdUniform,MC,24,-783409.7554412322,7461.0,0.019349972407023113
CubMCCLT,IIDStdUniform,MC,25,-1356772.6482607701,8791.0,0.02166302998860677
CubMCCLT,IIDStdUniform,MC,26,-2334658.048219329,9997.0,0.025264739990234375
CubMCCLT,IIDStdUniform,MC,27,-4006983.1134454734,12782.0,0.03543559710184733
CubMCCLT,IIDStdUniform,MC,28,-6833719.327604964,15912.0,0.04489366213480631
CubMCCLT,IIDStdUniform,MC,29,-11558529.547340756,19978.0,0.055810133616129555
CubMCCLT,IIDStdUniform,MC,30,-19472669.751589797,22052.0,0.06645409266153972
CubMCCLT,IIDStdUniform,MC,31,-32561945.55394128,27679.0,0.08574128150939941
CubMCCLT,IIDStdUniform,MC,32,-54164457.47800502,32937.0,0.10752987861633301
CubMCCLT,IIDStdUniform,MC,33,-89302847.6540962,45385.0,0.16147804260253906
CubMCCLT,IIDStdUniform,MC,34,-146032484.6301292,56510.0,0.22590025266011557
CubMCCLT,IIDStdUniform,MC,35,-236672385.23362604,69973.0,0.2933642864227295
CubMCCLT,IIDStdUniform,MC,36,-378347841.7164273,89716.0,0.3758477369944255
CubMCCLT,IIDStdUniform,MC,37,-596707395.7599267,118648.0,0.49553902943929035
CubMCCLT,IIDStdUniform,MC,38,-923851481.8835945,159578.0,0.7084339459737142
CubMCCLT,IIDStdUniform,MC,39,-1397750742.202975,216998.0,1.117908000946045
CubMCCLT,IIDStdUniform,MC,40,-2059702269.5271971,318543.0,1.5938933690388997
CubMCCLT,IIDStdGaussian,MC,1,1.387884771451713,12041.0,0.006627559661865234
CubMCCLT,IIDStdGaussian,MC,2,1.8196192752269902,37832.0,0.010313987731933594
CubMCCLT,IIDStdGaussian,MC,3,2.1758816098153178,99125.0,0.016774892807006836
CubMCCLT,IIDStdGaussian,MC,4,2.165922645491625,313178.0,0.04958566029866537
CubMCCLT,IIDStdGaussian,MC,5,1.1339695782945898,3383276.0,0.8626726468404134
CubMCCLT,IIDStdGaussian,MC,6,-2.322729525128219,4618004.0,1.3242858250935872
CubMCCLT,IIDStdGaussian,MC,7,-11.087644583906533,521366.0,0.1375584602355957
CubMCCLT,IIDStdGaussian,MC,8,-30.576767603585797,185005.0,0.06635236740112305
CubMCCLT,IIDStdGaussian,MC,9,-71.73918660848454,99790.0,0.032685041427612305
CubMCCLT,IIDStdGaussian,MC,10,-154.61519420378445,60599.0,0.022698322931925457
CubMCCLT,IIDStdGaussian,MC,11,-316.21500208724024,40575.0,0.014801343282063803
CubMCCLT,IIDStdGaussian,MC,12,-622.484325522283,26506.0,0.01104267438252767
CubMCCLT,IIDStdGaussian,MC,13,-1201.3071765282955,18795.0,0.009925365447998047
CubMCCLT,IIDStdGaussian,MC,14,-2278.2440680840496,14197.0,0.007735331853230794
CubMCCLT,IIDStdGaussian,MC,15,-4241.047561723191,10950.0,0.007327079772949219
CubMCCLT,IIDStdGaussian,MC,16,-7845.898882061771,8506.0,0.007170677185058594
CubMCCLT,IIDStdGaussian,MC,17,-14270.841253186818,6236.0,0.004697640736897786
CubMCCLT,IIDStdGaussian,MC,18,-25825.693363049,5948.0,0.004186550776163737
CubMCCLT,IIDStdGaussian,MC,19,-46467.47844673381,4700.0,0.0036492347717285156
CubMCCLT,IIDStdGaussian,MC,20,-82896.0529404514,4578.0,0.0035386880238850913
CubMCCLT,IIDStdGaussian,MC,21,-146711.7612534207,4576.0,0.003870248794555664
CubMCCLT,IIDStdGaussian,MC,22,-257727.96901314278,5234.0,0.005478064219156901
CubMCCLT,IIDStdGaussian,MC,23,-450899.3550501528,5763.0,0.0060160160064697266
CubMCCLT,IIDStdGaussian,MC,24,-785777.4490982293,6937.0,0.006433248519897461
CubMCCLT,IIDStdGaussian,MC,25,-1359275.2590724677,7678.0,0.009293874104817709
CubMCCLT,IIDStdGaussian,MC,26,-2337043.9449929167,9465.0,0.009728193283081055
CubMCCLT,IIDStdGaussian,MC,27,-4002487.971852442,10897.0,0.010605891545613607
CubMCCLT,IIDStdGaussian,MC,28,-6816641.659309495,12785.0,0.013441006342569986
CubMCCLT,IIDStdGaussian,MC,29,-11469514.237049906,16979.0,0.01771434148152669
CubMCCLT,IIDStdGaussian,MC,30,-19298929.794371944,20633.0,0.022003650665283203
CubMCCLT,IIDStdGaussian,MC,31,-32336383.282638084,24034.0,0.029150883356730144
CubMCCLT,IIDStdGaussian,MC,32,-53727441.81351764,30353.0,0.03593881924947103
CubMCCLT,IIDStdGaussian,MC,33,-88662348.14533883,36045.0,0.04569268226623535
CubMCCLT,IIDStdGaussian,MC,34,-145293379.14164975,44887.0,0.05592926343282064
CubMCCLT,IIDStdGaussian,MC,35,-235220586.06410852,59114.0,0.0862886905670166
CubMCCLT,IIDStdGaussian,MC,36,-377217635.08168584,78407.0,0.1178278128306071
CubMCCLT,IIDStdGaussian,MC,37,-592739885.2992438,95943.0,0.16451334953308105
CubMCCLT,IIDStdGaussian,MC,38,-918139609.6132665,126516.0,0.2514355182647705
CubMCCLT,IIDStdGaussian,MC,39,-1400113320.7724888,166914.0,0.3029060363769531
CubMCCLT,IIDStdGaussian,MC,40,-2070056095.6127083,250635.0,0.38480861981709796
CubMCG,IIDStdUniform,MC,1,1.375467172932453,11024.0,0.007503668467203776
CubMCG,IIDStdUniform,MC,2,1.8128122085604998,11024.0,0.00827328364054362
CubMCG,IIDStdUniform,MC,3,2.1556442562504383,11024.0,0.006703297297159831
CubMCG,IIDStdUniform,MC,4,2.1596387397519616,11024.0,0.0072896480560302734
CubMCG,IIDStdUniform,MC,5,1.1212307385630569,11024.0,0.009180784225463867
CubMCG,IIDStdUniform,MC,6,-2.3494907485183805,11024.0,0.010918219884236654
CubMCG,IIDStdUniform,MC,7,-11.080223378962657,11024.0,0.01241771380106608
CubMCG,IIDStdUniform,MC,8,-30.85522613000767,11024.0,0.011570056279500326
CubMCG,IIDStdUniform,MC,9,-71.5809438271255,11024.0,0.012214263280232748
CubMCG,IIDStdUniform,MC,10,-154.91040108043273,11024.0,0.014121294021606445
CubMCG,IIDStdUniform,MC,11,-315.3710300894642,11024.0,0.014122327168782553
CubMCG,IIDStdUniform,MC,12,-622.9758142557013,11024.0,0.014621973037719727
CubMCG,IIDStdUniform,MC,13,-1200.4894050327014,11024.0,0.015388011932373047
CubMCG,IIDStdUniform,MC,14,-2275.667199291122,11024.0,0.0164333979288737
CubMCG,IIDStdUniform,MC,15,-4245.573721120655,11024.0,0.017377217610677082
CubMCG,IIDStdUniform,MC,16,-7832.945214473632,11024.0,0.018354336420694988
CubMCG,IIDStdUniform,MC,17,-14318.875430134976,11024.0,0.021842320760091145
CubMCG,IIDStdUniform,MC,18,-25858.53030580258,11024.0,0.02036746342976888
CubMCG,IIDStdUniform,MC,19,-46411.395643220836,11024.0,0.020911216735839844
CubMCG,IIDStdUniform,MC,20,-82710.99845640344,11024.0,0.023149410883585613
CubMCG,IIDStdUniform,MC,21,-146372.73541652004,11024.0,0.024235645929972332
CubMCG,IIDStdUniform,MC,22,-257757.22430758414,11024.0,0.031486193339029946
CubMCG,IIDStdUniform,MC,23,-450845.75523082534,11024.0,0.02785627047220866
CubMCG,IIDStdUniform,MC,24,-784146.7910897451,11024.0,0.03370237350463867
CubMCG,IIDStdUniform,MC,25,-1356103.3262232814,11024.0,0.031205018361409504
CubMCG,IIDStdUniform,MC,26,-2333661.5099317734,11024.0,0.0308380921681722
CubMCG,IIDStdUniform,MC,27,-4000182.517996512,11024.0,0.031151533126831055
CubMCG,IIDStdUniform,MC,28,-6821083.140779375,11024.0,0.03209765752156576
CubMCG,IIDStdUniform,MC,29,-11537908.527182415,11024.0,0.035856405893961586
CubMCG,IIDStdUniform,MC,30,-19439348.204672433,11024.0,0.03390979766845703
CubMCG,IIDStdUniform,MC,31,-32527822.895924628,11024.0,0.035257418950398765
CubMCG,IIDStdUniform,MC,32,-54068159.18067104,11024.0,0.03607439994812012
CubMCG,IIDStdUniform,MC,33,-89430031.49366435,11024.0,0.03854743639628092
CubMCG,IIDStdUniform,MC,34,-146161264.51790786,11024.0,0.03956731160481771
CubMCG,IIDStdUniform,MC,35,-237307030.0955666,11024.0,0.039980808893839516
CubMCG,IIDStdUniform,MC,36,-380708231.60655326,11024.0,0.040809313456217446
CubMCG,IIDStdUniform,MC,37,-599535250.2717125,11024.0,0.0431519349416097
CubMCG,IIDStdUniform,MC,38,-933254197.5187716,11024.0,0.04412523905436198
CubMCG,IIDStdUniform,MC,39,-1422159459.7384644,11024.0,0.04453301429748535
CubMCG,IIDStdUniform,MC,40,-2093809822.7783763,11024.0,0.045639435450236
CubMCG,IIDStdGaussian,MC,1,1.3863937454041098,11024.0,0.002313375473022461
CubMCG,IIDStdGaussian,MC,2,1.8305383163116675,11024.0,0.003185749053955078
CubMCG,IIDStdGaussian,MC,3,2.2117830887749323,11024.0,0.0038696924845377603
CubMCG,IIDStdGaussian,MC,4,2.238731191385999,11024.0,0.003672043482462565
CubMCG,IIDStdGaussian,MC,5,1.2709058978738141,11024.0,0.004953861236572266
CubMCG,IIDStdGaussian,MC,6,-2.0425915276553117,11024.0,0.004561980565388997
CubMCG,IIDStdGaussian,MC,7,-10.69642431291219,11024.0,0.005324999491373698
CubMCG,IIDStdGaussian,MC,8,-29.791086994325706,11024.0,0.0057519276936848955
CubMCG,IIDStdGaussian,MC,9,-70.63395136796747,11024.0,0.006127357482910156
CubMCG,IIDStdGaussian,MC,10,-153.02384164282205,11024.0,0.00633541742960612
CubMCG,IIDStdGaussian,MC,11,-314.49607855266987,11024.0,0.0068768660227457685
CubMCG,IIDStdGaussian,MC,12,-623.072141977105,11024.0,0.00648951530456543
CubMCG,IIDStdGaussian,MC,13,-1202.4569029181382,11024.0,0.007342338562011719
CubMCG,IIDStdGaussian,MC,14,-2275.453807510855,11024.0,0.007643858591715495
CubMCG,IIDStdGaussian,MC,15,-4241.38306007125,11024.0,0.008210579554239908
CubMCG,IIDStdGaussian,MC,16,-7832.063480604712,11024.0,0.008330265680948893
CubMCG,IIDStdGaussian,MC,17,-14282.782840964639,11024.0,0.009792327880859375
CubMCG,IIDStdGaussian,MC,18,-25844.816371673765,11024.0,0.01014089584350586
CubMCG,IIDStdGaussian,MC,19,-46407.74239770478,11024.0,0.0096891721089681
CubMCG,IIDStdGaussian,MC,20,-82507.08519799299,11024.0,0.010060310363769531
CubMCG,IIDStdGaussian,MC,21,-146334.98241504084,11024.0,0.010844707489013672
CubMCG,IIDStdGaussian,MC,22,-257353.52838384095,11024.0,0.01074830691019694
CubMCG,IIDStdGaussian,MC,23,-450517.6479301827,11024.0,0.011653820673624674
CubMCG,IIDStdGaussian,MC,24,-784186.1476844983,11024.0,0.011588255564371744
CubMCG,IIDStdGaussian,MC,25,-1357913.7386822475,11024.0,0.011805295944213867
CubMCG,IIDStdGaussian,MC,26,-2336439.816243788,11024.0,0.013309399286905924
CubMCG,IIDStdGaussian,MC,27,-4002616.85491642,11024.0,0.013714949289957682
CubMCG,IIDStdGaussian,MC,28,-6829284.4400569005,11024.0,0.013735055923461914
CubMCG,IIDStdGaussian,MC,29,-11539021.8481184,11024.0,0.01510469118754069
CubMCG,IIDStdGaussian,MC,30,-19405392.73907423,11024.0,0.017322619756062824
CubMCG,IIDStdGaussian,MC,31,-32498062.09479202,11024.0,0.016860326131184895
CubMCG,IIDStdGaussian,MC,32,-53996095.68229922,11024.0,0.015124956766764322
CubMCG,IIDStdGaussian,MC,33,-88927221.49228081,11024.0,0.015456199645996094
CubMCG,IIDStdGaussian,MC,34,-144877853.98164412,11024.0,0.015802701314290363
CubMCG,IIDStdGaussian,MC,35,-233797406.0966439,11024.0,0.015191316604614258
CubMCG,IIDStdGaussian,MC,36,-374239822.9504809,11024.0,0.015888055165608723
CubMCG,IIDStdGaussian,MC,37,-590242792.1226928,11024.0,0.015785853068033855
CubMCG,IIDStdGaussian,MC,38,-917847429.2103812,11024.0,0.018490711847941082
CubMCG,IIDStdGaussian,MC,39,-1388717358.0282247,11024.0,0.01709755261739095
CubMCG,IIDStdGaussian,MC,40,-2031292160.2765758,11024.0,0.017206907272338867
CubQMCCLT,Lattice,QMC,1,1.3798619783658825,4096.0,0.005780935287475586
CubQMCCLT,Lattice,QMC,2,1.806748707072585,4096.0,0.006413459777832031
CubQMCCLT,Lattice,QMC,3,2.1638583964419738,4096.0,0.007026274998982747
CubQMCCLT,Lattice,QMC,4,2.1631880223882805,4096.0,0.007139364878336589
CubQMCCLT,Lattice,QMC,5,1.1336373600033047,8192.0,0.014711221059163412
CubQMCCLT,Lattice,QMC,6,-2.326538027953471,16384.0,0.023114681243896484
CubQMCCLT,Lattice,QMC,7,-11.076252015260101,8192.0,0.015238364537556967
CubQMCCLT,Lattice,QMC,8,-30.667966185403987,4096.0,0.00882871945699056
CubQMCCLT,Lattice,QMC,9,-71.65124300770097,8192.0,0.01870131492614746
CubQMCCLT,Lattice,QMC,10,-153.83409242635648,4096.0,0.010239601135253906
CubQMCCLT,Lattice,QMC,11,-314.71647456173855,4096.0,0.013177951176961264
CubQMCCLT,Lattice,QMC,12,-622.3619212085428,4096.0,0.01286927858988444
CubQMCCLT,Lattice,QMC,13,-1201.0822516446224,4096.0,0.013445615768432617
CubQMCCLT,Lattice,QMC,14,-2275.7750206414,4096.0,0.013001203536987305
CubQMCCLT,Lattice,QMC,15,-4246.579560494321,4096.0,0.014781951904296875
CubQMCCLT,Lattice,QMC,16,-7821.5219275147365,4096.0,0.01770337422688802
CubQMCCLT,Lattice,QMC,17,-14310.909235515152,4096.0,0.018926302591959637
CubQMCCLT,Lattice,QMC,18,-25885.244711104093,4096.0,0.017767667770385742
CubQMCCLT,Lattice,QMC,19,-46360.629894227284,4096.0,0.016392310460408527
CubQMCCLT,Lattice,QMC,20,-82652.5346106466,4096.0,0.014895757039388021
CubQMCCLT,Lattice,QMC,21,-146247.40610545053,4096.0,0.01493398348490397
CubQMCCLT,Lattice,QMC,22,-257216.51996655468,4096.0,0.015331506729125977
CubQMCCLT,Lattice,QMC,23,-448829.818873887,4096.0,0.01581565539042155
CubQMCCLT,Lattice,QMC,24,-781032.4402995402,4096.0,0.020258347193400066
CubQMCCLT,Lattice,QMC,25,-1350365.073565391,4096.0,0.020357290903727215
CubQMCCLT,Lattice,QMC,26,-2324316.8876720183,4096.0,0.01694933573404948
CubQMCCLT,Lattice,QMC,27,-3980201.655656139,4096.0,0.017136573791503906
CubQMCCLT,Lattice,QMC,28,-6780021.894240546,4096.0,0.01994935671488444
CubQMCCLT,Lattice,QMC,29,-11489281.575134614,4096.0,0.019209543863932293
CubQMCCLT,Lattice,QMC,30,-19337210.79605762,4096.0,0.019100030263264973
CubQMCCLT,Lattice,QMC,31,-32357077.246606518,4096.0,0.019923051198323567
CubQMCCLT,Lattice,QMC,32,-53783093.652763456,4096.0,0.019387006759643555
CubQMCCLT,Lattice,QMC,33,-88664228.10328534,4096.0,0.021372636159261067
CubQMCCLT,Lattice,QMC,34,-144949460.76706257,4096.0,0.021680355072021484
CubQMCCLT,Lattice,QMC,35,-234818983.9621003,4096.0,0.023264408111572266
CubQMCCLT,Lattice,QMC,36,-376170284.368419,4096.0,0.024131615956624348
CubQMCCLT,Lattice,QMC,37,-594001101.0808518,4096.0,0.023325681686401367
CubQMCCLT,Lattice,QMC,38,-922070782.7153584,4096.0,0.024746020634969074
CubQMCCLT,Lattice,QMC,39,-1401743206.6790476,4096.0,0.024369478225708008
CubQMCCLT,Lattice,QMC,40,-2067462391.2138996,4096.0,0.02489630381266276
CubQMCCLT,Sobol,QMC,1,1.380503242836461,4096.0,0.0038933753967285156
CubQMCCLT,Sobol,QMC,2,1.8078528457856453,4096.0,0.004805088043212891
CubQMCCLT,Sobol,QMC,3,2.1676850648306387,4096.0,0.005202293395996094
CubQMCCLT,Sobol,QMC,4,2.163279533269968,4096.0,0.005610466003417969
CubQMCCLT,Sobol,QMC,5,1.1324311554928417,16384.0,0.018428325653076172
CubQMCCLT,Sobol,QMC,6,-2.328728004625945,16384.0,0.0219875971476237
CubQMCCLT,Sobol,QMC,7,-11.030361609619073,4096.0,0.0076872507731119795
CubQMCCLT,Sobol,QMC,8,-30.570173576055808,4096.0,0.008011420567830404
CubQMCCLT,Sobol,QMC,9,-71.66566483923933,4096.0,0.008338451385498047
CubQMCCLT,Sobol,QMC,10,-154.40985911275578,4096.0,0.009186108907063803
CubQMCCLT,Sobol,QMC,11,-316.06352692481914,4096.0,0.009652853012084961
CubQMCCLT,Sobol,QMC,12,-624.7231882212945,4096.0,0.009181578954060873
CubQMCCLT,Sobol,QMC,13,-1204.9547821724736,4096.0,0.008925755818684896
CubQMCCLT,Sobol,QMC,14,-2283.959131408651,4096.0,0.010135968526204428
CubQMCCLT,Sobol,QMC,15,-4267.62234614523,4096.0,0.009699424107869467
CubQMCCLT,Sobol,QMC,16,-7863.131662710916,4096.0,0.011285622914632162
CubQMCCLT,Sobol,QMC,17,-14345.375682951688,4096.0,0.011998653411865234
CubQMCCLT,Sobol,QMC,18,-25932.232033949007,4096.0,0.011221726735432943
CubQMCCLT,Sobol,QMC,19,-46504.19293877253,4096.0,0.012227058410644531
CubQMCCLT,Sobol,QMC,20,-82803.45084388394,4096.0,0.01152491569519043
CubQMCCLT,Sobol,QMC,21,-146392.6209889413,4096.0,0.012575944264729818
CubQMCCLT,Sobol,QMC,22,-257312.46845804923,4096.0,0.011843601862589518
CubQMCCLT,Sobol,QMC,23,-450042.8894444124,4096.0,0.011995395024617514
CubQMCCLT,Sobol,QMC,24,-783901.3305003732,4096.0,0.013056675593058268
CubQMCCLT,Sobol,QMC,25,-1357330.1840874134,4096.0,0.013662974039713541
CubQMCCLT,Sobol,QMC,26,-2336905.6587398862,4096.0,0.012812932332356771
CubQMCCLT,Sobol,QMC,27,-4002487.9548142124,4096.0,0.01371463139851888
CubQMCCLT,Sobol,QMC,28,-6819441.507280819,4096.0,0.013893604278564453
CubQMCCLT,Sobol,QMC,29,-11550007.161371136,4096.0,0.014158328374226889
CubQMCCLT,Sobol,QMC,30,-19439747.35970283,4096.0,0.014198939005533854
CubQMCCLT,Sobol,QMC,31,-32508872.211163133,4096.0,0.014456669489542643
CubQMCCLT,Sobol,QMC,32,-54064768.225412644,4096.0,0.014818350474039713
CubQMCCLT,Sobol,QMC,33,-89090204.42571853,4096.0,0.017129977544148762
CubQMCCLT,Sobol,QMC,34,-145627325.1040984,4096.0,0.017483234405517578
CubQMCCLT,Sobol,QMC,35,-235706879.6452674,4096.0,0.017700910568237305
CubQMCCLT,Sobol,QMC,36,-377265784.000117,4096.0,0.01771831512451172
CubQMCCLT,Sobol,QMC,37,-595541739.3914628,4096.0,0.019624710083007812
CubQMCCLT,Sobol,QMC,38,-923540008.5734296,4096.0,0.018703381220499676
CubQMCCLT,Sobol,QMC,39,-1402883547.5023246,4096.0,0.019201040267944336
CubQMCCLT,Sobol,QMC,40,-2065395198.4086072,4096.0,0.019395907719930012
